C000001_cs_000	Zaměstnanci v ozbrojených silách
C003027_cs_000	pracovník pro úklid vlaků/pracovnice pro úklid vlaků
C003027_cs_001	pracovnice pro úklid vlaků
C003027_cs_002	pracovník pro úklid vlaků
C003028_cs_000	umělecký ředitel/umělecká ředitelka
C003028_cs_001	umělecká ředitelka
C003028_cs_002	umělecký ředitel
C003028_cs_003	ředitel orchestru
C003028_cs_004	ředitelka orchestru
C003029_cs_000	pomocný pracovník v domácnosti/pomocná pracovnice v domácnosti
C003029_cs_001	pomocná pracovnice v domácnosti
C003029_cs_002	pomocný pracovník v domácnosti
C003029_cs_003	uklizeč v domácnosti
C003029_cs_004	uklizečka v domácnosti
C003029_cs_005	úklidová pracovnice v domácnosti
C003029_cs_006	úklidový pracovník v domácnosti
C003030_cs_000	šéfredaktor/šéfredaktorka
C003030_cs_001	vedoucí redaktor
C003030_cs_002	vedoucí redaktorka
C003030_cs_003	šéfredaktor
C003030_cs_004	šéfredaktorka
C003031_cs_000	kontrolor velínu pro zpracování plynu/kontrolorka velínu pro zpracování plynu
C003031_cs_001	kontrolor velínu pro zpracování plynu
C003031_cs_002	kontrolorka velínu pro zpracování plynu
C003032_cs_000	analytik energetické spotřeby/analytička energetické spotřeby
C003032_cs_001	analytik energetické spotřeby
C003032_cs_002	analytička energetické spotřeby
C003032_cs_003	energetická analytička
C003032_cs_004	energetická poradkyně
C003032_cs_005	energetický analytik
C003032_cs_006	energetický poradce
C003033_cs_000	učitel herectví/učitelka herectví
C003033_cs_001	učitel herectví
C003033_cs_002	učitelka herectví
C003034_cs_000	nákupčí kostýmů
C003035_cs_000	kvalitář výrobků/kvalitářka výrobků
C003035_cs_001	kvalitář výrobků
C003035_cs_002	kvalitářka výrobků
C003036_cs_000	ředitel muzea/ředitelka muzea
C003036_cs_001	ředitel muzea
C003036_cs_002	ředitelka muzea
C003037_cs_000	zahradnický specialista/zahradnická specialistka
C003037_cs_001	kurátor botanické zahrady
C003037_cs_002	kurátorka botanické zahrady
C003037_cs_003	zahradnice
C003037_cs_004	zahradnická specialistka
C003037_cs_005	zahradnický specialista
C003037_cs_006	zahradník
C003038_cs_000	manažer pro dovoz a vývoz oděvů a obuvi/manažerka pro dovoz a vývoz oděvů a obuvi
C003038_cs_001	manažer pro dovoz a vývoz oděvů a obuvi
C003038_cs_002	manažerka pro dovoz a vývoz oděvů a obuvi
C003039_cs_000	prodavač tiskovin a papírnického zboží/prodavačka tiskovin a papírnického zboží
C003039_cs_001	prodavač tiskovin a papírnického zboží
C003039_cs_002	prodavač v papírnictví
C003039_cs_003	prodavač ve stánku PNS
C003039_cs_004	prodavačka tiskovin a papírnického zboží
C003039_cs_005	prodavačka v papírnictví
C003039_cs_006	prodavačka ve stánku PNS
C003040_cs_000	hlavní inženýr lodi/hlavní inženýrka lodi
C003040_cs_001	hlavní lodní inženýr
C003041_cs_000	čalouník nábytku/čalounice nábytku
C003041_cs_001	čalounice nábytku
C003041_cs_002	čalouník nábytku
C003042_cs_000	vedoucí auditor/vedoucí auditorka
C003042_cs_001	hlavní auditor
C003042_cs_002	hlavní auditorka
C003042_cs_003	vedoucí auditor
C003042_cs_004	vedoucí auditorka
C003042_cs_005	vedoucí auditorského týmu
C003043_cs_000	manažer komunikace/manažerka komunikace
C003043_cs_001	manažer externí komunikace
C003043_cs_002	manažer interní komunikace
C003043_cs_003	manažer komunikace
C003043_cs_004	manažer online komunikace
C003043_cs_005	manažer sociálních médií
C003043_cs_006	manažerka externí komunikace
C003043_cs_007	manažerka interní komunikace
C003043_cs_008	manažerka komunikace
C003043_cs_009	manažerka online komunikace
C003043_cs_010	manažerka sociálních médií
C003044_cs_000	pracovník skladu pro přípravu zboží na základě objednávky/pracovnice skladu pro přípravu zboží na základě objednávky
C003044_cs_001	pracovnice skladu pro přípravu zboží na základě objednávky
C003044_cs_002	pracovník skladu pro přípravu zboží na základě objednávky
C003045_cs_000	auditor informačních technologií/auditorka informačních technologií
C003045_cs_001	auditor informačních technologií
C003045_cs_002	auditorka informačních technologií
C003046_cs_000	koordinátor svářeč/koordinátorka svářečka
C003046_cs_001	koordinátor svářeč
C003046_cs_002	koordinátor v oboru sváření
C003046_cs_003	koordinátorka svářečka
C003046_cs_004	koordinátorka v oboru sváření
C003047_cs_000	policejní inspektor/policejní inspektorka
C003047_cs_001	inspektor policie
C003047_cs_002	inspektorka policie
C003047_cs_003	policejní inspektor
C003047_cs_004	policejní inspektorka
C003048_cs_000	komunitní sociální pracovník/komunitní sociální pracovnice
C003048_cs_001	komunitní sociální pracovnice
C003048_cs_002	komunitní sociální pracovník
C003048_cs_003	terénní sociální pracovnice
C003048_cs_004	terénní sociální pracovník
C003049_cs_000	šič obuvi/šička obuvi
C003049_cs_001	šič obuvi
C003049_cs_002	šička obuvi
C003050_cs_000	obsluha namáčecí nádrže
C003050_cs_001	obsluha zařízení pro povrchovou úpravu kovů
C003051_cs_000	vedoucí kulturního centra
C003051_cs_001	vedoucí kulturního střediska
C003051_cs_002	vedoucí uměleckého centra
C003052_cs_000	rozhlasový produkční/rozhlasová produkční
C003052_cs_001	rozhlasová produkční
C003052_cs_002	rozhlasový produkční
C003052_cs_003	zástupce rozhlasového produkčního
C003052_cs_004	zástupkyně rozhlasového produkčního
C003053_cs_000	zvukový umělec/zvuková umělkyně
C003053_cs_001	zvuková umělkyně
C003053_cs_002	zvukový umělec
C003054_cs_000	obsluha skeneru
C003055_cs_000	velkoobchodník s oděvy a obuví/velkoobchodnice s oděvy a obuví
C003055_cs_001	velkoobchodnice s oděvy a obuví
C003055_cs_002	velkoobchodník s oděvy a obuví
C003056_cs_000	seřizovač a obsluha stroje na výrobu palet/seřizovačka a obsluha stroje na výrobu palet
C003056_cs_001	seřizovač a obsluha stroje na výrobu palet
C003056_cs_002	seřizovačka a obsluha stroje na výrobu palet
C003057_cs_000	vedoucí montáže skleněných stavebních konstrukcí
C003058_cs_000	manažer penzijního fondu/manažerka penzijního fondu
C003058_cs_001	manažer penzijního fondu
C003058_cs_002	manažerka penzijního fondu
C003058_cs_003	penzijní poradce
C003058_cs_004	penzijní poradkyně
C003059_cs_000	sophrolog/sophroložka
C003060_cs_000	manažer pro leasing nemovitostí/manažerka pro leasing nemovitostí
C003060_cs_001	leasing manager
C003060_cs_002	manažer pro leasing nemovitostí
C003060_cs_003	manažerka pro leasing nemovitostí
C003061_cs_000	síťový inženýr ICT/síťová inženýrka ICT
C003061_cs_001	konfigurátor sítí
C003061_cs_002	konfigurátorka sítí
C003061_cs_003	síťová inženýrka
C003061_cs_004	síťová konfigurátorka
C003061_cs_005	síťová vývojářka
C003061_cs_006	síťový inženýr
C003061_cs_007	síťový konfigurátor
C003061_cs_008	síťový vývojář
C003062_cs_000	operátor přípravy tisku/operátorka přípravy tisku
C003062_cs_001	operátor přípravy tisku
C003062_cs_002	operátorka přípravy tisku
C003062_cs_003	pracovnice přípravy tisku
C003062_cs_004	pracovník přípravy tisku
C003063_cs_000	obsluha strojů na výrobu matrací
C003064_cs_000	sbormistr/sbormistryně
C003064_cs_001	sbormistr
C003064_cs_002	sbormistryně
C003064_cs_003	sborová dirigentka
C003064_cs_004	sborový dirigent
C003064_cs_005	vedoucí sboru
C003065_cs_000	podiatr/podiatrička
C003065_cs_001	podiatrická lékařka
C003065_cs_002	podiatrický lékař
C003065_cs_003	podolog
C003065_cs_004	podoložka
C003066_cs_000	manažer struktury vzdušného prostoru/manažerka struktury vzdušného prostoru
C003066_cs_001	manažer struktury letecké dopravy a vzdušného prostoru
C003066_cs_002	manažer struktury vzdušného prostoru
C003066_cs_003	manažerka struktury letecké dopravy a vzdušného prostoru
C003066_cs_004	manažerka struktury vzdušného prostoru
C003067_cs_000	správce sociálního zabezpečení/správkyně sociálního zabezpečení
C003067_cs_001	správce sociálního zabezpečení
C003067_cs_002	správkyně sociálního zabezpečení
C003068_cs_000	model pro uměleckou tvorbu/modelka pro uměleckou tvorbu
C003068_cs_001	model pro uměleckou tvorbu
C003068_cs_002	modelka pro uměleckou tvorbu
C003069_cs_000	montér jeřábů/montérka jeřábů
C003069_cs_001	montér jeřábů
C003069_cs_002	montérka jeřábů
C003069_cs_003	obsluha jeřábů
C003070_cs_000	brusič kovů/brusička kovů
C003070_cs_001	brusič kovů
C003070_cs_002	brusička kovů
C003071_cs_000	pracovník údržby telekomunikačních zařízení/pracovnice údržby telekomunikačních zařízení
C003071_cs_001	pracovnice údržby telekomunikačních systémů
C003071_cs_002	pracovnice údržby telekomunikačních zařízení
C003071_cs_003	pracovník údržby telekomunikačních systémů
C003071_cs_004	pracovník údržby telekomunikačních zařízení
C003071_cs_005	údržbář telekomunikačních zařízení
C003071_cs_006	údržbářka telekomunikačních zařízení
C003072_cs_000	softwarový architekt/softwarová architektka
C003072_cs_001	architekt aplikací
C003072_cs_002	architektka aplikací
C003072_cs_003	softwarová architektka
C003072_cs_004	softwarová designérka
C003072_cs_005	softwarový architekt
C003072_cs_006	softwarový designér
C003073_cs_000	výrobce houslí/výrobkyně houslí
C003073_cs_001	houslař
C003073_cs_002	houslařka
C003073_cs_003	výrobce houslí
C003073_cs_004	výrobkyně houslí
C003074_cs_000	celulózař/celulózařka
C003074_cs_001	celulózař
C003074_cs_002	celulózařka
C003075_cs_000	ředitel firmy obchodující s cennými papíry/ředitelka firmy obchodující s cennými papíry
C003075_cs_001	ředitel firmy obchodující s cennými papíry
C003075_cs_002	ředitelka firmy obchodující s cennými papíry
C003076_cs_000	cytolog/cytoložka
C003076_cs_001	cytolog
C003076_cs_002	cytoložka
C003077_cs_000	instruktor palubních průvodčích/instruktorka palubních průvodčích
C003077_cs_001	instruktor palubních průvodčích
C003077_cs_002	instruktorka palubních průvodčích
C003078_cs_000	pracovník loterie/pracovnice loterie
C003078_cs_001	pracovnice loterie
C003078_cs_002	pracovník loterie
C003079_cs_000	zubní hygienik/zubní hygienička
C003079_cs_001	zubní hygienik
C003079_cs_002	zubní hygienička
C003080_cs_000	jemný mechanik/jemná mechanička
C003080_cs_001	jemná mechanička
C003080_cs_002	jemný mechanik
C003081_cs_000	technický obchodní zástupce pro textilní strojírenství/technická obchodní zástupkyně pro textilní strojírenství
C003081_cs_001	technická obchodní zástupkyně pro textilní strojírenství
C003081_cs_002	technická prodejkyně textilních strojů
C003081_cs_003	technický obchodní zástupce pro textilní strojírenství
C003081_cs_004	technický prodejce textilních strojů
C003082_cs_000	oděvní návrhář/oděvní návrhářka
C003082_cs_001	oděvní návrhář
C003082_cs_002	oděvní návrhářka
C003083_cs_000	kostýmní výtvarník/kostýmní výtvarnice
C003083_cs_001	kostýmní výtvarnice
C003083_cs_002	kostýmní výtvarník
C003083_cs_003	návrhář kostýmů
C003083_cs_004	návrhářka kostýmů
C003084_cs_000	asistent klinického psychologa/asistentka klinického psychologa
C003084_cs_001	asistent psychologa
C003084_cs_002	asistentka klinického psychologa
C003085_cs_000	pracovník přijímající hosty klubu/pracovnice přijímající hosty klubu
C003085_cs_001	hosteska
C003085_cs_002	hosteska v klubu
C003085_cs_003	pracovnice přijímající hosty klubu
C003085_cs_004	pracovnice vítající hosty v klubu
C003085_cs_005	pracovník přijímající hosty klubu
C003085_cs_006	pracovník vítající hosty v klubu
C003086_cs_000	klasifikátor usní/klasifikátorka usní
C003086_cs_001	klasifikátor usní
C003086_cs_002	klasifikátorka usní
C003087_cs_000	chovatel drůbeže/chovatelka drůbeže
C003087_cs_001	chovatel drůbeže
C003087_cs_002	chovatelka drůbeže
C003087_cs_003	ošetřovatel drůbeže
C003087_cs_004	ošetřovatelka drůbeže
C003087_cs_005	specialista na chov drůbeže
C003087_cs_006	specialistka na chov drůbeže
C003088_cs_000	notář/notářka
C003088_cs_001	notář
C003088_cs_002	notářka
C003089_cs_000	koordinátor vzdělávacích programů/koordinátorka vzdělávacích programů
C003089_cs_001	koordinátor vzdělávacích programů
C003089_cs_002	koordinátorka vzdělávacích programů
C003089_cs_003	manažer vzdělávacích programů
C003089_cs_004	manažerka vzdělávacích programů
C003090_cs_000	korepetitor/korepetitorka
C003090_cs_001	baletní korepetitor
C003090_cs_002	baletní korepetitorka
C003090_cs_003	hudební korepetitor
C003090_cs_004	hudební korepetitorka
C003090_cs_005	korepetitor
C003090_cs_006	korepetitorka
C003091_cs_000	zprostředkovatel pronájmů/zprostředkovatelka pronájmů
C003091_cs_001	zprostředkovatel pronájmů
C003091_cs_002	zprostředkovatelka pronájmů
C003092_cs_000	operátor velínu pro zpracování plynu/operátorka velínu pro zpracování plynu
C003093_cs_000	technik v oblasti optomechaniky/technička v oblasti optomechaniky
C003093_cs_001	technik v oblasti optomechaniky
C003093_cs_002	technička v oblasti optomechaniky
C003094_cs_000	specialista úseku korporátního bankovnictví/specialistka úseku korporátního bankovnictví
C003094_cs_001	bankovní úřednice
C003094_cs_002	bankovní úředník
C003094_cs_003	bankéř
C003094_cs_004	bankéřka
C003094_cs_005	specialista úseku korporátního bankovnictví
C003094_cs_006	specialistka úseku korporátního bankovnictví
C003094_cs_007	úřednice úseku korporátního bankovnictví
C003094_cs_008	úředník úseku korporátního bankovnictví
C003095_cs_000	kreativní ředitel/kreativní ředitelka
C003095_cs_001	kreativní ředitel
C003095_cs_002	kreativní ředitelka
C003095_cs_003	umělecká ředitelka
C003095_cs_004	umělecký ředitel
C003096_cs_000	mistr/mistrová výroby jablečného vína
C003096_cs_001	mistr výroby cideru
C003096_cs_002	mistr výroby jablečného vína
C003096_cs_003	mistr výroby ovocných vín
C003096_cs_004	mistrová výroby cideru
C003096_cs_005	mistrová výroby jablečného vína
C003096_cs_006	mistrová výroby ovocných vín
C003097_cs_000	statistik referent/statistička referentka
C003097_cs_001	statistik referent
C003097_cs_002	statistička referentka
C003098_cs_000	vedoucí právní služby
C003099_cs_000	obsluha fermentoru
C003099_cs_001	operátor fermentoru
C003099_cs_002	operátorka fermentoru
C003100_cs_000	novinář se zaměřením na kulturu a zábavu/novinářka se zaměřením na kulturu a zábavu
C003100_cs_001	filmová novinářka
C003100_cs_002	filmový novinář
C003100_cs_003	kritik
C003100_cs_004	kritička
C003100_cs_005	novinář se zaměřením na kulturu a zábavu
C003100_cs_006	novinářka se zaměřením na kulturu a zábavu
C003100_cs_007	reportér živých vstupů
C003100_cs_008	reportérka živých vstupů
C003101_cs_000	obsluha regálových zakladačů
C003101_cs_001	obsluha regálových zakladačů v hypermarketu
C003101_cs_002	obsluha regálových zakladačů v obchodním domě
C003101_cs_003	obsluha regálových zakladačů v supermarketu
C003102_cs_000	manažer zahradnické produkce/manažerka zahradnické produkce
C003102_cs_001	manažer zahradnické produkce
C003102_cs_002	manažerka zahradnické produkce
C003102_cs_003	vedoucí zahradnictví
C003102_cs_004	ředitel zahradnictví
C003102_cs_005	ředitelka zahradnictví
C003103_cs_000	novinář se zaměřením na kriminální zpravodajství/novinářka se zaměřením na kriminální zpravodajství
C003103_cs_001	novinář se zaměřením na kriminální zpravodajství
C003103_cs_002	novinářka se zaměřením na kriminální zpravodajství
C003104_cs_000	velkoobchodník se dřevem a stavebními materiály/velkoobchodnice se dřevem a stavebními materiály
C003104_cs_001	velkoobchodnice se dřevem a stavebními materiály
C003104_cs_002	velkoobchodník se dřevem a stavebními materiály
C003105_cs_000	vedoucí kabinetu na střední škole
C003105_cs_001	vedoucí kabinetu
C003106_cs_000	asistent zdravotní péče/asistentka zdravotní péče
C003106_cs_001	asistent zdravotní péče
C003106_cs_002	asistentka zdravotní péče
C003107_cs_000	specialista zahraničního obchodu v oblasti odpadu a šrotu/specialistka zahraničního obchodu v oblasti odpadu a šrotu
C003107_cs_001	specialista zahraničního obchodu v oblasti odpadu a šrotu
C003107_cs_002	specialistka zahraničního obchodu v oblasti odpadu a šrotu
C003108_cs_000	pracovník odpovědný za motory pohánějící vrtné zařízení ropné plošiny/pracovnice odpovědná za motory pohánějící vrtné zařízení ropné plošiny
C003108_cs_001	oil rig motorhand
C003108_cs_002	pracovnice odpovědná za motory pohánějící těžařské zařízení ropné plošiny
C003108_cs_003	pracovník odpovědný za motory pohánějící těžařské zařízení ropné plošiny
C003109_cs_000	kontrolor doutníků/kontrolorka doutníků
C003109_cs_001	inspektor výroby doutníků
C003109_cs_002	inspektorka výroby doutníků
C003109_cs_003	kontrolor doutníků
C003109_cs_004	kontrolorka doutníků
C003110_cs_000	specialista v oblasti lidských zdrojů/specialistka v oblasti lidských zdrojů
C003110_cs_001	specialista v oblasti lidských zdrojů
C003110_cs_002	specialistka v oblasti lidských zdrojů
C003111_cs_000	analytik dat/analytička dat
C003111_cs_001	analytik dat
C003111_cs_002	analytik skladových dat
C003111_cs_003	analytička dat
C003111_cs_004	analytička skladových dat
C003111_cs_005	datová analytička
C003111_cs_006	datový analytik
C003112_cs_000	pracovník salonu krásy/pracovnice salonu krásy
C003112_cs_001	pracovnice obsluhy solária
C003112_cs_002	pracovnice salonu krásy
C003112_cs_003	pracovnice solária
C003112_cs_004	pracovník obsluhy solária
C003112_cs_005	pracovník salonu krásy
C003112_cs_006	pracovník solária
C003113_cs_000	operátor forem na čokoládu/operátorka forem na čokoládu
C003113_cs_001	operátor forem na čokoládu
C003113_cs_002	operátor linky na formování čokolády
C003113_cs_003	operátorka forem na čokoládu
C003113_cs_004	operátorka linky na formování čokolády
C003114_cs_000	operátor velínu čistírny odpadních vod/operátorka velínu čistírny odpadních vod
C003115_cs_000	montážní dělník elektromechanického zařízení/montážní dělnice elektromechanického zařízení
C003115_cs_001	montážní dělnice elektromechanického zařízení
C003115_cs_002	montážní dělník elektromechanického zařízení
C003115_cs_003	montér elektromechanického zařízení
C003116_cs_000	manažer distribuce železářského zboží, instalatérských a topenářských potřeb/manažerka distribuce železářského zboží, instalatérských a topenářských potřeb
C003116_cs_001	manažer distribuce železářského zboží, instalatérských a topenářských potřeb
C003116_cs_002	manažerka distribuce železářského zboží, instalatérských a topenářských potřeb
C003117_cs_000	vedoucí pracovník pro manipulaci s klecemi a dohled nad souvisejícími činnostmi v akvakultuře/ vedoucí pracovnice pro manipulaci s klecemi a dohled nad souvisejícími činnostmi v akvakultuře
C003117_cs_001	vedoucí pracovnice pro manipulaci s klecemi a dohled nad souvisejícími činnostmi v akvakultuře
C003117_cs_002	vedoucí pracovník pro manipulaci s klecemi a dohled nad souvisejícími činnostmi v akvakultuře
C003118_cs_000	porážeč košer/porážečka košer
C003118_cs_001	porážeč košer
C003118_cs_002	porážečka košer
C003119_cs_000	druhý důstojník/druhá důstojnice
C003120_cs_000	řezník košer/řeznice košer
C003120_cs_001	řeznice košer
C003120_cs_002	řezník košer
C003121_cs_000	koordinátor záchranných operací v dolech/koordinátorka záchranných operací v dolech
C003121_cs_001	koordinátor záchranných operací v dolech
C003121_cs_002	koordinátorka záchranných operací v dolech
C003122_cs_000	referent ochrany veřejného zdraví/referentka ochrany veřejného zdraví
C003122_cs_001	hygienik
C003122_cs_002	hygienička
C003122_cs_003	referent ochrany veřejného zdraví
C003122_cs_004	referentka ochrany veřejného zdraví
C003123_cs_000	vedoucí parfumerie
C003124_cs_000	kosmonaut/kosmonautka
C003124_cs_001	kosmonaut
C003124_cs_002	kosmonautka
C003125_cs_000	obsluha lisu na výrobu cihel či tvarovek
C003125_cs_001	obsluha lisu na výrobu cihel
C003126_cs_000	kožařský vývojový pracovník/kožařská vývojová pracovnice
C003126_cs_001	kožařská specialistka
C003126_cs_002	kožařská specialistka výzkumná, vývojová a vědecká pracovnice
C003126_cs_003	kožařská vývojová pracovnice
C003126_cs_004	kožařský specialista
C003126_cs_005	kožařský specialista výzkumný, vývojový a vědecký pracovník
C003126_cs_006	kožařský vývojový pracovník
C003127_cs_000	jevištní technik/jevištní technička
C003127_cs_001	jevištní technik
C003127_cs_002	jevištní technička
C003127_cs_003	kulisačka
C003127_cs_004	kulisák
C003128_cs_000	společník/společnice
C003128_cs_001	společnice
C003128_cs_002	společník
C003129_cs_000	designér digitálních médií/designérka digitálních médií
C003129_cs_001	designér digitálních multimédií
C003129_cs_002	designér digitálních médií
C003129_cs_003	designér nových médií
C003129_cs_004	designérka digitálních multimédií
C003129_cs_005	designérka digitálních médií
C003129_cs_006	designérka nových médií
C003130_cs_000	obsluha strojů na výrobu parfémů
C003131_cs_000	digitální umělec/digitální umělkyně
C003131_cs_001	digitální sochař
C003131_cs_002	digitální sochařka
C003131_cs_003	digitální umělec
C003131_cs_004	digitální umělkyně
C003131_cs_005	multimediální umělec
C003131_cs_006	multimediální umělkyně
C003131_cs_007	počítačová umělkyně
C003131_cs_008	počítačový umělec
C003131_cs_009	umělec nových médií
C003131_cs_010	umělkyně nových médií
C003132_cs_000	osobní stylista/osobní stylistka
C003132_cs_001	image konzultant
C003132_cs_002	image konzultantka
C003132_cs_003	módní konzultant
C003132_cs_004	módní konzultantka
C003132_cs_005	módní poradce
C003132_cs_006	módní poradkyně
C003132_cs_007	osobní stylista
C003132_cs_008	osobní stylistka
C003133_cs_000	číšník/číšnice
C003133_cs_001	obsluha restaurace
C003133_cs_002	servírka
C003133_cs_003	vrchní
C003133_cs_004	číšnice
C003133_cs_005	číšník
C003134_cs_000	manažer restaurace/manažerka restaurace
C003134_cs_001	kontrolor přípravy jídel a nápojů
C003134_cs_002	kontrolorka přípravy jídel a nápojů
C003134_cs_003	manažer pro potraviny a nápoje
C003134_cs_004	manažer úseku potravin a nápojů
C003134_cs_005	manažerka pro potraviny a nápoje
C003134_cs_006	manažerka úseku potravin a nápojů
C003135_cs_000	krajský hejtman/krajská hejtmanka
C003135_cs_001	hejtman
C003135_cs_002	hejtman kraje
C003135_cs_003	hejtmanka
C003135_cs_004	hejtmanka kraje
C003135_cs_005	krajská hejtmanka
C003135_cs_006	krajský hejtman
C003136_cs_000	obsluha dřevoobráběcích frézek
C003136_cs_001	obsluha dřevoobráběcích CNC frézovacích routerů
C003136_cs_002	operátor dřevoobráběcích CNC frézovacích routerů
C003137_cs_000	designér digitálních her/designérka digitálních her
C003137_cs_001	designér digitálních her
C003137_cs_002	designér počítačových her
C003137_cs_003	designér virtuálních her
C003137_cs_004	designérka digitálních her
C003137_cs_005	designérka počítačových her
C003137_cs_006	designérka virtuálních her
C003137_cs_007	návrhář počítačových her
C003138_cs_000	specialista zahraničního obchodu v oblasti elektronických a telekomunikačních zařízení/specialistka zahraničního obchodu v oblasti elektronických a telekomunikačních zařízení
C003138_cs_001	specialista zahraničního obchodu v oblasti elektronických a telekomunikačních zařízení
C003138_cs_002	specialistka zahraničního obchodu v oblasti elektronických a telekomunikačních zařízení
C003139_cs_000	vedoucí bojových scén
C003139_cs_001	choreograf bojových scén
C003139_cs_002	choreografka bojových scén
C003140_cs_000	pracovník půjčovny videokazet a disků/pracovnice půjčovny videokazet a disků
C003140_cs_001	pracovnice půjčovny videokazet a disků
C003140_cs_002	pracovník půjčovny videokazet a disků
C003140_cs_003	vedoucí půjčovny videokazet a disků
C003141_cs_000	pracovník v oblasti zneužívání návykových látek/pracovnice v oblasti zneužívání návykových látek
C003141_cs_001	pracovnice v oblasti zneužívání návykových látek
C003141_cs_002	pracovník v oblasti zneužívání návykových látek
C003142_cs_000	důlní bezpečnostní technik/důlní bezpečnostní technička
C003142_cs_001	důlní bezpečnostní technik
C003142_cs_002	důlní bezpečnostní technička
C003143_cs_000	referent oddělení sociálních služeb/referentka oddělení sociálních služeb
C003143_cs_001	referent oddělení sociálních služeb
C003143_cs_002	referentka oddělení sociálních služeb
C003144_cs_000	obsluha sledovacích světlometů
C003145_cs_000	technolog výroby/technoložka výroby
C003145_cs_001	inženýr výroby
C003145_cs_002	inženýrka výroby
C003145_cs_003	produkční inženýr
C003145_cs_004	produkční inženýrka
C003145_cs_005	technolog výroby
C003145_cs_006	technoložka výroby
C003146_cs_000	pohřební zřízenec/pohřební zřízenkyně
C003146_cs_001	pohřební zřízenec
C003146_cs_002	pohřební zřízenkyně
C003147_cs_000	seřizovač rotačního kovacího stroje/seřizovačka rotačního kovacího stroje
C003147_cs_001	obsluha rotačního kovacího stroje
C003147_cs_002	seřizovač rotačního kovacího stroje
C003147_cs_003	seřizovačka rotačního kovacího stroje
C003148_cs_000	manažer pro dovoz a vývoz kůží, kožek a kožených výrobků/manažerka pro dovoz a vývoz kůží, kožek a kožených výrobků
C003148_cs_001	manažer pro dovoz a vývoz kůží, kožek a kožených výrobků
C003148_cs_002	manažerka pro dovoz a vývoz kůží, kožek a kožených výrobků
C003149_cs_000	hlavní skladník/hlavní skladnice
C003149_cs_001	hlavní skladnice
C003149_cs_002	hlavní skladník
C003149_cs_003	kontrolor inventáře
C003149_cs_004	kontrolorka inventáře
C003150_cs_000	stavební inženýr/stavební inženýrka
C003150_cs_001	projektant
C003150_cs_002	projektantka
C003150_cs_003	stavební inženýr
C003150_cs_004	stavební inženýrka
C003151_cs_000	letecký inženýr pro potřeby leteckého a kosmického průmyslu/letecká inženýrka pro potřeby leteckého a kosmického průmyslu
C003151_cs_001	letecká inženýrka pro potřeby leteckého a kosmického průmyslu
C003151_cs_002	letecká mechanička pro avioniku
C003151_cs_003	letecká mechanička pro drak
C003151_cs_004	letecká mechanička pro zbraňové systémy
C003151_cs_005	letecký inženýr pro potřeby leteckého a kosmického průmyslu
C003151_cs_006	letecký mechanik
C003151_cs_007	letecký mechanik pro avioniku
C003151_cs_008	letecký mechanik pro drak
C003151_cs_009	letecký mechanik pro zbraňové systémy
C003152_cs_000	montážní dělník nábytku/montážní dělnice nábytku
C003152_cs_001	dělnice ve výrobě nábytku
C003152_cs_002	dělník ve výrobě nábytku
C003152_cs_003	montážní dělnice nábytku
C003152_cs_004	montážní dělník nábytku
C003152_cs_005	montér nábytku
C003153_cs_000	pracovník třídírny zavazadel/pracovnice třídírny zavazadel
C003153_cs_001	pracovnice třídírny zavazadel
C003153_cs_002	pracovník třídírny zavazadel
C003154_cs_000	technik konstruktér elektroniky/technička konstruktérka elektroniky
C003154_cs_001	kreslič elektroniky
C003154_cs_002	kreslička elektroniky
C003154_cs_003	průmyslová návrhářka elektroniky
C003154_cs_004	průmyslový návrhář elektroniky
C003154_cs_005	technik konstruktér elektroniky
C003154_cs_006	technička konstruktérka elektroniky
C003155_cs_000	technik telekomunikačních systémů/technička telekomunikačních systémů
C003155_cs_001	administrátor telekomunikačních systémů
C003155_cs_002	administrátorka telekomunikačních systémů
C003155_cs_003	správce telekomunikačních aplikací
C003155_cs_004	správce telekomunikačních systémů
C003155_cs_005	správce telekomunikačních zařízení
C003155_cs_006	správkyně telekomunikačních aplikací
C003155_cs_007	správkyně telekomunikačních systémů
C003155_cs_008	správkyně telekomunikačních zařízení
C003156_cs_000	technik pro lov a sklizeň v odvětví akvakultury/technička pro lov a sklizeň v odvětví akvakultury
C003156_cs_001	technik pro lov a sklizeň v odvětví akvakultury
C003156_cs_002	technička pro lov a sklizeň v odvětví akvakultury
C003157_cs_000	vedoucí lékárny
C003158_cs_000	obsluha strojů na vyzrňování bavlny
C003159_cs_000	tvůrce kurikul / tvůrkyně kurikul
C003159_cs_001	tvůrce kurikulí
C003159_cs_002	tvůrkyně kurikulí
C003160_cs_000	geodet specialista/geodetka specialistka
C003160_cs_001	geodet specialista
C003160_cs_002	geodetka specialistka
C003160_cs_003	zeměměřič
C003160_cs_004	zeměměřička
C003161_cs_000	vedoucí prodejny počítačů a příslušenství
C003162_cs_000	asistent oddělení lidských zdrojů/asistentka oddělení lidských zdrojů
C003162_cs_001	asistent oddělení lidských zdrojů
C003162_cs_002	asistentka oddělení lidských zdrojů
C003163_cs_000	vrtný technik/vrtná technička
C003163_cs_001	geologická technička
C003163_cs_002	geologický technik
C003163_cs_003	vrtná technička
C003163_cs_004	vrtný technik
C003164_cs_000	asistent poslance parlamentu/asistentka poslance parlamentu
C003164_cs_001	asistent poslance Evropského parlamentu
