Q000001	Кметски наместник, община
Q003619	Крояч, кожа
Q003620	Моделиер, драперии или тапицерии
Q003621	Моделиер, кожени изделия
Q003622	Моделиер, корабни платна или палатки
Q003623	Моделиер, матраци
Q003624	Моделиер, чадъри
Q003625	Бродировач
Q003626	Изпълнител, ръчна бродерия
Q003627	Производител, изкуствени цветя
Q003628	Производител, килими
Q003629	Производител, меки играчки
Q003630	Производител, платна/тенти/навеси
Q003631	Производител, чадъри
Q003632	Работник, поправка на чадъри
Q003633	Шивач, драперии/пердета
Q003634	Шивач
Q003635	Изготвител, даражни гарнитури
Q003636	Производител, матраци/дюшеци
Q003637	Производител, мека мебел
Q003638	Тапицер
Q003639	Апретурист, кожи
Q003640	Бояджия, кожи
Q003641	Кожар
Q003642	Кожар, манипулант
Q003643	Кожар, стригач
Q003644	Кожар-полировач на кожи
Q003645	Майстор-кожар
Q003646	Работник, опъване на кожи
Q003647	Работник, осоляване на кожи
Q003648	Работник, оцветяване на кожи
Q003649	Работник, почистващ кожи
Q003650	Сортировач, кожи
Q003651	Апретурист, обувки
Q003652	Конфекционер, обувки (ръчно)
Q003653	Крояч, обувни изделия
Q003654	Лакировач, обувни изделия
Q003655	Майстор, обувки
Q003656	Обущар
Q003657	Подготвител, горница на обувки
Q003658	Подготвител, подметки и ходила
Q003659	Полировчик, обувки
Q003660	Производител, изделия от кожа
Q003661	Производител, сарашки изделия
Q003662	Производител, спортни принадлежности
Q003663	Работник, преса за подметки и ходила
Q003664	Работник, боядисване на обувни изделия
Q003665	Работник, изрязване на капели на обувки
Q003666	Работник, разтягане на обувки на калъпи
Q003667	Работник, огъвач на обувки (горна част)
Q003668	Сарач
Q003669	Сортировач, обувки
Q003670	Тефлонизатор
Q003671	Финишист, каучуково-обувни изделия
Q003672	Цепач
Q003673	Гмуркач, изваждане на потънали съдове
Q003674	Кесонен работник
Q003675	Бомбаджия/ работник по взиряване
Q003676	Отговорник, взривен склад
Q003677	Работник, пробиване на взривни дупки
Q003678	Браковчик, взривни материали
Q003679	Проктант/ръководител на взривни работи
Q003680	Окачествител, кожи
Q003681	Изпитател, дрехи
Q003682	Инспектор, качество на продукти (без храни и напитки)
Q003683	Окачествител, продукти (без храни и напитки)
Q003684	Окачествител-опаковач, монети и медали
Q003685	Контрольор, качество на продукти (без храни и напитки)
Q003686	Специалист качество, полуфабрикати и готова продукция
Q003687	Инспектор, качество на производствените процеси
Q003688	Работник, дезинфектор
Q003689	Дезинфектор
Q003690	Сервизен техник
Q003691	Анализатор, лаборатория
Q003692	Влагоизмерител
Q003693	Измервач, феритни и магнитни изделия
Q003694	Изчислител, грешки и отчетник
Q003695	Лаборант
Q003696	Пробовземач
Q003697	Рентгенометрист
Q003698	Хидроизмерител
Q003699	Хидрометеорологичен/агрометеорологичен наблюдател
Q003700	Хидронаблюдател
Q003701	Дефектоскопист, лаборатория
Q003702	Дозиметрист, лаборатория
Q003703	Просветлител, оптични елементи
Q003704	Формовчик, стъклени лещи
Q003705	Хронометражист
Q003706	Аранжьор, цветя
Q003707	Работник, радиационен контрол и дезактивация
Q003708	Работници по поддръжка и ремонт на железопътните съоръжения в тунел на метрополитен
Q003709	Работници по поддръжка и ремонт на инженерните съоръжения в тунел на метрополитен
Q003710	Работник по ремонт на въоръжението
Q003711	Машинен оператор, електрическа подстанция
Q003712	Басейнчик, солодобив
Q003713	Газоспасител
Q003714	Геофизичен оператор
Q003715	Дозиметрист
Q003716	Замервач,отчетник
Q003717	Крепач (поставяч), подпори
Q003718	Минен спасител
Q003719	Миньор
Q003720	Обрушвач, бордове в открити рудници
Q003721	Плакировач, пясък
Q003722	Премахвач, подпори
Q003723	Машинен оператор, дълбаене (мина)
Q003724	Машинен оператор, копаене в мина (непрекъснато производство)
Q003725	Машинен оператор, пробиване на дупки (мина)
Q003726	Машинен оператор, прокарване на тунели (мина)
Q003727	Машинен оператор транспортно-технологична машина (мина)
Q003728	Оператор, пулт за управление и свръзка
Q003729	Работник, кариера
Q003730	Работник, валиране
Q003731	Работник, вентилационни и газови измервания
Q003732	Работник, зареждане на перфоратори, торпеда грудоноси
Q003733	Работник, крепежни конструкции в мини
Q003734	Работник, обогатяване на полезни изкопаеми
Q003735	Работник, подготовка на филтърни платна
Q003736	Работник, поддържане на лични предпазни средства и защитно облекло
Q003737	Работник, производство и екстрахиране на диамантов режещ инструмент
Q003738	Работник, противопожарна и газова профилактика в мини
Q003739	Работник, промиване на благородни метали
Q003740	Реагентчик
Q003741	Солодобивчик
Q003742	Сондьор
Q003743	Табелчик, минодобива
Q003744	Торкретист
Q003745	Филтърджия
Q003746	Флотационен работник
Q003747	Флотиер
Q003748	Машинен оператор, инсталации и съоръжения за обогатяване на нерудни суровини
Q003749	Машинен оператор, инсталации и съоръжения за обогатяване на руди
Q003750	Машинен оператор, флотационни инсталации и съоръжения
Q003751	Машинен оператор, обработка на руда
Q003752	Машинен оператор, обработка на минерали
Q003753	Оператор, машина за рязане на скални материали
Q003754	Оператор, мелница в обогатителна фабрика
Q003755	Оператор, гравитационно оборудване (мина)
Q003756	Оператор, обогатителна фабрика
Q003757	Апаратчик на варочен котел
Q003758	Машинист на пневмотранспорт
Q003759	Оператор в командна зала
Q003760	Оператор на силозен склад
Q003761	Работник по поддръжка на системи за обезпрашаване
Q003762	Машинен оператор, сондажно оборудване
Q003763	Машинен оператор, драга/земекопачка/ескаватор
Q003764	Оператор, съоръжение за пробиване на дупки
Q003765	Оператор, оборудване за изтегляне (нефтени и газови кладенци)
Q003766	Оператор, оборудване за пускане на сонди за кладенци
Q003767	Оператор, пускане на сонди на кабелен принцип (нефтени и газови кладенци)
Q003768	Оператор, пускане на сонди на ротационен принцип (нефтени и газови кладенци)
Q003769	Оператор, сондажно оборудване (кладенци)
Q003770	Оператор, черпещи сонди и киселинни магистрали
Q003771	Машинен оператор, азбесто-циментови изделия
Q003772	Машинен оператор, зареждач на абразиви
Q003773	Машинен оператор, изглаждане/оглаждане
Q003774	Машинен оператор, изготвител на свръзки (абразивни и диамантни изделия)
Q003775	Машинен оператор, изделия от бетон
Q003776	Машинен оператор, минерални изделия
Q003777	Машинен оператор, изделия от изкуствени камъни
Q003778	Машинен оператор, производство на абразионни покрития
Q003779	Машинен оператор, производство на промишлени диаманти
Q003780	Машинен оператор, рязане на минерални продукти
Q003781	Машинен оператор, циментови продукти
Q003782	Машинен оператор, шлифоване
Q003783	Оператор, залепвач на детайли
Q003784	Оператор, инсталация за размесване на бетон
Q003785	Оператор, лепач на главички (шлайфграфери)
Q003786	Резач ? полировач
Q003787	Резач, промишлени диаманти
Q003788	Оператор, производство на цимент
Q003789	Оператор, пещи за производство на цимент
Q003790	Апаратчик, петрургия
Q003791	Апаратчик, производство на редки метали
Q003792	Апаратчик, хидрометалургия
Q003793	Апаратчик, цветна металургия
Q003794	Апаратчик, черна металургия
Q003795	Апаратчик, електролиза
Q003796	Манипулатор, валцова машина
Q003797	Машинен оператор, машина за леене
Q003798	Травилчик
Q003799	Машинен оператор, машини и съоръжения в металургията
Q003800	Машинен оператор, закаляване на метал
Q003801	Машинен оператор, смесване на метал
Q003802	Машинен оператор, горещо пресоване на метал
Q003803	Машинен оператор, изтегляне на безшевни тръби
Q003804	Машинен оператор, изтегляне на жица и тел
Q003805	Машинен оператор, изтегляне на метал
Q003806	Машинен оператор, студено пресоване на метал
Q003807	Машинен оператор, рафиниране на метал
Q003808	Машинен оператор, производство на изделия от олово
Q003809	Оператор, пещи за термична обработка на метал
Q003810	Оператор, пещи за циментация на метал
Q003811	Оператор, инсталация за гранулиране на шлака
Q003812	Оператор, оборудване за карбонизация на метал
Q003813	Оператор, отвръщач на изделия от благородни и цветни неблагородни метали
Q003814	Възстановител-металист
Q003815	Електровакуумист
Q003816	Електроерозист
Q003817	Електролизьор, апаратчик на метални прахове
Q003818	Електрофорезчик
Q003819	Машинен оператор, вакуумапаратчик
Q003820	Машинен оператор, галванизиране на метал
Q003821	Машинен оператор, излъскване на метал
Q003822	Машинен оператор, метализатор
Q003823	Машинен оператор, направа на покритие
Q003824	Машинен оператор, оцветяване на метал
Q003825	Машинен оператор, регенериране на платинови мрежи
Q003826	Машинен оператор, точене на листове (метал)
Q003827	Машинен оператор, шлифоване на метал
Q003828	Оператор, оборудване за почистване на метал
Q003829	Оператор, регулировчик на електролизни вани
Q003830	Работник, покриване метални повърхности
Q003831	Химикалист, производство на стоманени профили
Q003832	Апаратчик, химически процеси
Q003833	Заготвител, активна маса (химически процеси)
Q003834	Машинен оператор, експандерист
Q003835	Машинен оператор, изготвител и разфасовчик на туш
Q003836	Машинен оператор, изготвител на фирниси, фиксативи и маслен пастел
Q003837	Машинен оператор, мелене (химически и други сродни на тях процеси)
Q003838	Машинен оператор, пулверизиране (химически и други сродни на тях процеси)
Q003839	Машинен оператор, разбиване (химически други сродни на тях процеси)
Q003840	Машинен оператор, размесване (химически и други сродни на тях процеси)
Q003841	Машинен оператор, стриване в химически и други сродни на тях процеси
Q003842	Машинен оператор, сух пастел и моделин
Q003843	Машинен оператор, съединяване в химически и други сродни на тях процеси
Q003844	Машинен оператор, таблетираща машина за акварел
Q003845	Машинен оператор, производство на дървени въглища
Q003846	Машинен оператор, производство на изкуствени торове
Q003847	Машинен оператор, производство на светилен газ
Q003848	Машинен оператор, производство на синтетични влакна
Q003849	Машинен оператор, филерист
Q003850	Машинен оператор, производство на памук, тампони, марли и други
Q003851	Машинен оператор, амуниции
Q003852	Машинен оператор, производство на експлозивни вещества
Q003853	Машинен оператор, производство на кибрит
Q003854	Машинен оператор, производство на феритни и магнитни изделия
Q003855	Машинен оператор, производство на фойерверки
Q003856	Машинен оператор, заварчик на кондензатори
Q003857	Машинен оператор, производство на бои, лакове и багрила
Q003858	Машинен оператор, производство на водороден газ
Q003859	Машинен оператор, производство на линолеум
Q003860	Машинен оператор, производство на смоли
Q003861	Машинен оператор, производство на хлорен газ
Q003862	Машинен оператор, производство на халогенен газ
Q003863	Машинен оператор, промиване на химически и други сродни на тях материали
Q003864	Лепиловар
Q003865	Смоловар
Q003866	Кислородчик
Q003867	Апаратчик, сярна киселина
Q003868	Оператор, пастировчик на плочи
Q003869	Оператор, приготвител на смеси
Q003870	Оператор, компаудировчик
Q003871	Оператор, чукова мелница (химически и други сродни на тях процеси)
Q003872	Оператор, гранулиращо оборудване (фармацевтични продукти и тоалетни препарати)
Q003873	Оператор, дестилаторно оборудване (парфюми)
Q003874	Оператор, оборудване за моделиране (тоалетни принадлежности)
Q003875	Оператор, подготвител на смеси, разтвори и полуфабрикати за електронни елементи
Q003876	Оператор, производство на акумулатори
Q003877	Леяр, детайли от олово за акумулатори
Q003878	Газголдерчик
Q003879	Захранвач
Q003880	Дообработчик, плочи за акумулатори
Q003881	Приготвител, оловни сплави за акумулатори и други подобни
Q003882	Работник, производство на индикаторни тръби
Q003883	Работник, добив на оловен прах
Q003884	Работник, производство на акумулатори
Q003885	Работник, приготвящ електролит
Q003886	Работник, зареждане на акумулатори
Q003887	Работник, пастировка
Q003888	Работник, приготвяне на изолационни материали и смеси
Q003889	Работник, приготвяне на оловни сплави
Q003890	Работник, производство на асфалтови смеси
Q003891	Работник, производство на химически токоизточници
Q003892	Оператор, филтърна преса (химически и други сродни на тях процеси)
Q003893	Оператор, флотация на кварцов прах
Q003894	Оператор, дехидратор (петролни залежи)
Q003895	Оператор, екстрактор (химически и други сродни на тях материали)
Q003896	Оператор, инструмент за изхвърляне (химически и други сродни на тях материали)
Q003897	Оператор, оборудване за обработка, манипулация на суров петрол
Q003898	Оператор, пресяване, прецеждане на химически и сродни на тях материали
Q003899	Оператор, филтър/ротационен барабан
Q003900	Оператор, филтър (химически и други сродни на тях процеси)
Q003901	Оператор, центрофугиращ сепаратор (химически и други сродни на тях процеси)
Q003902	Вакуумимпрегнатор
Q003903	Вакуумоператор
Q003904	Оператор, вакуумна вана в химически и сродни на тях процеси (без нефт и природен газ)
Q003905	Оператор, дестилатор/еднократно (химически процеси - без нефт и природен газ)
Q003906	Оператор, дестилатор/непрекъснато (химически процеси - без нефт и природен газ)
Q003907	Оператор, екстрактор (дестилация на дървен материал)
Q003908	Оператор, изпарител (химически процеси - без нефт и природен газ)
Q003909	Оператор, конвертор (химически процеси - без нефт и природен газ)
Q003910	Оператор, реактор-конвертор (химически процеси - без нефт и природен газ)
Q003911	Оператор, реактор (химически процеси - без нефт и природен газ)
Q003912	Оператор избелителни разтвори
Q003913	Оператор, производство на парафин
Q003914	Копист, филмови материали
Q003915	Лаборант, обработващ светлочувствителни материали
Q003916	Печатар, проекции/изображения
Q003917	Печатар, филми
Q003918	Печатар, фотографии
Q003919	Проявител, копировач
Q003920	Увеличител на снимки
Q003921	Машинен оператор, вадене на копия от снимки
Q003922	Машинен оператор, производство на фотографска хартия
Q003923	Машинен оператор, производство на фотографски плаки
Q003924	Машинен оператор, производство на фотографски филми
Q003925	Машинен оператор, специализирано устройство за микрофилмова техника
Q003926	Машинен оператор, фотографски изделия
Q003927	Работник, тъмни помещения по проявяване на филми и копиране на снимки
Q003928	Заготовчик, изолационни платове
Q003929	Изготвител, болкит
Q003930	Импрегнатор
Q003931	Машинен оператор, биене на каучук
Q003932	Машинен оператор, вулканизиране на автомобилни гуми и др.
Q003933	Машинен оператор, направа на покритие от каучук
Q003934	Машинен оператор, производство на гуми
Q003935	Машинен оператор, производство на каучукови изделия
Q003936	Машинен оператор, производство на щемпели
Q003937	Машинен оператор, фасониране на каучук
Q003938	Машинен оператор, щанцоване на каучук
Q003939	Оператор, каландър (каучук)
Q003940	Работник, импрегнация
Q003941	Бласьор
Q003942	Изцепвач, дунапрен
Q003943	Машинен оператор, ецване на пластмаса
Q003944	Машинен оператор, изработване на пластмасови антени
Q003945	Машинен оператор, изработване на плексигласови изделия
Q003946	Машинен оператор, моделиране/фасониране на пластмаса
Q003947	Машинен оператор, направа на пластове, листове
Q003948	Машинен оператор, оглаждане/довършване на пластмаса
Q003949	Машинен оператор, пресоване на пластмаси
Q003950	Машинен оператор, рязане на пластмаса
Q003951	Хладилен мебелист
Q003952	Машинен оператор, преработка на дунапрен
Q003953	Машинен оператор, изделия, подвързани с картон
Q003954	Машинен оператор, изработване в релеф (хартия)
Q003955	Машинен оператор, производство на пликове и хартиени торбички
Q003956	Машинен оператор, производство на целофанени торбички
Q003957	Машинен оператор, изпридане на конци и прежди
Q003958	Машинен оператор, изпридане на синтетични влакна
Q003959	Машинен оператор, комбиниране на текстилни влакна
Q003960	Машинен оператор, метриране на плат
Q003961	Машинен оператор, навиване на конци и прежди
Q003962	Машинен оператор, навиване на плат
Q003963	Машинен оператор, намотаване (конци и прежди)
Q003964	Машинен оператор, размесване на текстилни влакна
Q003965	Машинен оператор, удвояване на конци и прежди
Q003966	Машинен оператор, усукване на конци и прежди
Q003967	Машинен оператор, флаеровъчен стан (текстилни влакна)
Q003968	Машинен оператор, чертожен стан
Q003969	Работник, низане на жакардови карти
Q003970	Работник, рязане на жакардови карти
Q003971	Свилар
Q003972	Секционен майстор
Q003973	Скробвач
Q003974	Сновач
Q003975	Тъкач
Q003976	Зареждач
Q003977	Машинен оператор, изготвяне на кордони
Q003978	Машинен оператор, производство на мрежи
Q003979	Машинен оператор, рязане на текстил
Q003980	Работник, плетач
Q003981	Работник, бобинарка и шпулмашина
Q003982	Работник, тъфтинг-машина за тъкане на килими
Q003983	Работник, възстановяване на влакна
Q003984	Работник, ръчно изшиване на дефекти на тъкането (дообработка на тъкани)
Q003985	Работник, десенатор на тъкани
Q003986	Работник, предач на влакна и прежда
Q003987	Машинен оператор, кроене с електронна машина
Q003988	Машинен оператор, преса за гладене
Q003989	Машинен оператор, шиене
Q003990	Машинен оператор, шиене на бродерия
Q003991	Машинен оператор, шиене на кожени изделия
Q003992	Машинен оператор, шиене на облекла
Q003993	Машинен оператор, шиене на обувки
Q003994	Машинен оператор, шиене на тапицерия
Q003995	Машинен оператор, шиене на текстилни изделия
Q003996	Машинен оператор, шиене на шапки
Q003997	Машинен оператор, белене (избелване) на влакна, текстил и текстилни изделия
Q003998	Машинен оператор, боядисване на влакна, текстил и текстилни изделия
Q003999	Машинен оператор, импрегниране на влакна, текстил и текстилни изделия
Q004000	Машинен оператор, кадриране на плат
Q004001	Машинен оператор, свиване на текстил
Q004002	Машинен оператор, сушене на влакна, текстил и текстилни изделия
Q004003	Оператор, парна преса
Q004004	Оператор, каландър (текстил)
Q004005	Оператор, оборудване за почистване на влакна, текстил и текстилни изделия
Q004006	Машинен оператор, боядисване/оцветяване на кожи
Q004007	Машинен оператор, обработка на кожи
Q004008	Машинен оператор, подготовка на кожи
Q004009	Машинен оператор, пране на кожи
Q004010	Машинен оператор, рязане на кожи
Q004011	Машинен оператор, смесване на кожени влакна
Q004012	Машинен оператор, щавене
Q004013	Машинен оператор, обувно производство
Q004014	Оператор, тепавица
Q004015	Машинен оператор, гладене в пералня
Q004016	Машинен оператор, химическо чистене
Q004017	Машинен оператор, десениране на текстил
Q004018	Машинен оператор, производство на ширити, сърма и други подобни
Q004019	Машинен оператор, шаблониране на кожи
Q004020	Машинен оператор, шапкарство
Q004021	Работник маркиране
Q004022	Работник нераздробени меса
Q004023	Работник шунки и деликатеси
Q004024	Работник, производство на мелничарски  и  нишестени продукти
Q004025	Машинен оператор, нишестени продукти
Q004026	Машинен оператор, бланширане на риба/месо
Q004027	Машинен оператор, затваряне на консерви в метална кутия (херметически)
Q004028	Машинен оператор, измиване на консерви (стерилни в метални кутии)
Q004029	Машинен оператор, размразяване на месо/риба
Q004030	Машинен оператор, месни продукти
Q004031	Машинен оператор, стерилизиране на месо/риба
Q004032	Оператор, автоклав (месо и риба)
Q004033	Машинен оператор, миячна машина
Q004034	Машинен оператор, разфасовъчна машина
Q004035	Машинен оператор, пастьоризиране на мляко/млечни продукти
Q004036	Машинен оператор, преработване на мляко
Q004037	Оператор, стифир машина
Q004038	Оператор, вакуумен съд за кондензирано мляко
Q004039	Машинен оператор, пресевна машина
Q004040	Машинен оператор, силози
Q004041	Машинен оператор, мелене на зърно
Q004042	Машинен оператор, мелене на подправки
Q004043	Машинен оператор, производство на тестени изделия
Q004044	Машинен оператор, обработка на плодове/зеленчуци
Q004045	Машинен оператор, обработка на ядки
Q004046	Машинен оператор, производство на плодови/зеленчукови сокове
Q004047	Машинен оператор, стерилизиране на плодове/зеленчуци
Q004048	Оператор, автоклав
Q004049	Оператор, вакуумен съд за хранителни есенции
Q004050	Оператор, вакуум-изпарителна инсталация с ароматоуловител
Q004051	Оператор, вакуумна пещ (хранителни продукти)
Q004052	Регулировчик, хранителни уредби и горивни апаратури
Q004053	Оператор, уред за разтоварване (дифундиране на захарно цвекло)
Q004054	Машинен оператор, смесване на различни сортове кафе
Q004055	Машинен оператор, смесване на различни сортове чай
Q004056	Оператор, оборудване за печене на кафе/какао
Q004057	Машинен оператор, дестилиране на спиртни напитки
Q004058	Оператор, инсталация за изваряване на пиво/алкохолни напитки
Q004059	Оператор, оборудване за отлежаване пивоварство/спиртни напитки
Q004060	Оператор, оборудване за приготвяне на малц
Q004061	Пивовар
Q004062	Машинен оператор, бране на тютюневи листа
Q004063	Машинен оператор, производство на цигари
Q004064	Машинен оператор, рязане на тютюневи листа
Q004065	Машинен оператор, смесване различни сортове тютюн
Q004066	Машинист, агрегат тютюневи бали
Q004067	Оператор, вакуумен апарат за поддържане на влажността при обработка на тютюн
Q004068	Оператор, вибро навлажнителен тунел
Q004069	Оператор, смесител тютюнева линия
Q004070	Машинен оператор, довеждане на дървото до кашаво състояние
Q004071	Машинен оператор, дялане на дървен материал
Q004072	Машинист транспортни съоръжения
Q004073	Машинист спомагателни съоръжения
Q004074	Оператор производство на листова целулоза
Q004075	Оператор сушене и  балиране
Q004076	Оператор обезводняване, мерсеризация и балиране
Q004077	Оператор eтерификация
Q004078	Оператор, изготвител на разтвори и целулозна каша за мембрани и трептилки
Q004079	Оператор, дялане/дълбаене (хартиена каша)
Q004080	Оператор, разтваряне на хартиена каша
Q004081	Оператор, сортиране на хартиена каша
Q004082	Машинен оператор, производство на хартия
Q004083	Оператор, преса за картонени изделия
Q004084	Оператор, производство на хартия
Q004085	Оператор, рязане на картон (велпапе)
Q004086	Оператор, фино сатиниране
Q004087	Работник зареждане корообелващ барабан
Q004088	Машинен оператор, агрегат
Q004089	Машинен оператор, банциг
Q004090	Машинен оператор, циркуляр
Q004091	Машинен оператор, дърводобив
Q004092	Машинен оператор, рендосване на дървен материал
Q004093	Машинен оператор, рязане на дървен материал
Q004094	Машинен оператор, фрезоване на дървен материал
Q004095	Оператор, отрязващ трион за трупи
Q004096	Оператор, дъскорезница
Q004097	Пресьор, фурнир
Q004098	Пресьор, шперплат
Q004099	Резач
Q004100	Машинен оператор, валцуване на листово стъкло
Q004101	Машинен оператор, ецване на стъкло
Q004102	Машинен оператор, закаляване на стъкло
Q004103	Машинен оператор, леене на керамика и порцелан
Q004104	Машинен оператор, матиране (гланциране) на стъкло
Q004105	Машинен оператор, оцветяване на керамика
Q004106	Машинен оператор, оцветяване на стъкло
Q004107	Машинен оператор, полиране на стъкло
Q004108	Машинен оператор, пресоване на стъкло
Q004109	Машинен оператор, производство на керамични изделия
Q004110	Машинен оператор, производство на стъкло
Q004111	Машинен оператор, рязане на стъкло
Q004112	Оператор, лакировач/емайльор на преходни детайли и възли
Q004113	Оператор, оборудване за почистване на стъкло
Q004114	Работник, приготвяне на шамот
Q004115	Работник, рязане и шлифоване на кварцови тръби и тигли
Q004116	Машинен оператор, емайлиране на порцеланови и керамични изделия
Q004117	Машинен оператор, изглаждане на глина
Q004118	Машинен оператор, производство на стъклени влакна
Q004119	Машинен оператор, смесване на глазиран порцелан или керамични изделия
Q004120	Машинен оператор, смесване на глина
Q004121	Машинен оператор, смесване на материал за изтриване, шлифоване
Q004122	Машинен оператор, смесване на стъкло
Q004123	Оператор, хидродинамично пресоване на металокерамични изделия
Q004124	Оператор, обдухване на електропорцеланови изделия
Q004125	Оператор, мелница за тухларска глина
Q004126	Оператор, отпечатване на щанца (матрица) за керамика и порцелан
Q004127	Корабен моторист/машинист
Q004128	Корабен огняр
Q004129	Корабен помпиер
Q004130	Оператор, парни и водогрейни съоръжения
Q004131	Оператор, парна машина
Q004132	Машинен оператор, пломбиране на контейнери
Q004133	Работник, производство на фуражи и фуражни добавки
Q004134	Машинен оператор, компресор
Q004135	Машинен оператор, помпена станция
Q004136	Машинен оператор, производство на фуражи и фуражни добавки
Q004137	Оператор, газокомпресорни агрегати
Q004138	Помпиер, помпена/пречиствателна станция
Q004139	Машинен оператор, дренажна система, канализация
Q004140	Машинен оператор, електрическа инсталация
Q004141	Машинен оператор, зонно пречистване и изготвяне на монокристали
Q004142	Машинен оператор, изготвяне на селенови клетки
Q004143	Машинен оператор, изолация
Q004144	Машинен оператор, кабелна инсталация
Q004145	Машинен оператор, машини за намагнитване
Q004146	Машинен оператор, обработка на слюда за кондензатори
Q004147	Машинен оператор, подготвяне на смоли за термообработка
Q004148	Машинен оператор, подготовка на заваръчни детайли
Q004149	Машинен оператор, поставяне на капсул
Q004150	Машинен оператор, производство на металокерамични изделия
Q004151	Машинен оператор, производство на пиезокварцови изделия
Q004152	Машинен оператор, производство на силиконови чипове
Q004153	Машинен оператор, изработване на печатни платки
Q004154	Машинен оператор, разпрашител на метални прахове от метали и сплави
Q004155	Машинен оператор, метални прахове и смеси
Q004156	Машинен оператор, хидродинамично пресоване на металокерамични изделия
Q004157	Машинен оператор, изпитателна станция
Q004158	Машинен оператор, екарисаж
Q004159	Машинен оператор, бетон помпа
Q004160	Оператор, зареждане с гориво
Q004161	Дефектоскопист
Q004162	Работник, хидротехнически съоръжения
Q004163	Оператор на заваръчни апарати за механизирано и автоматизирано заваряване
Q004164	Машинен оператор, монтажен конвейер
Q004165	Монтажник, двигатели на моторни превозни средства
Q004166	Монтажник, дърводелски машини
Q004167	Монтажник, електрически машини
Q004168	Монтажник, металорежещи машини
Q004169	Монтажник, механични машини
Q004170	Монтажник, парен двигател
Q004171	Монтажник, печатарски машини
Q004172	Монтажник, подкопни машини
Q004173	Монтажник, промишлено оборудване
Q004174	Монтажник, селскостопански машини
Q004175	Монтажник, текстилни машини
Q004176	Монтажник, турбини
Q004177	Оператор, тестване на автомобилни компоненти
Q004178	Оператор, производство на автомобилни компоненти
Q004179	Машинен оператор, производство на автомобилни компоненти
Q004180	Машинен оператор, навиване на арматура
Q004181	Машинен оператор, навиване на бобина
Q004182	Монтажник, електрооборудване
Q004183	Монтажник, кабели
Q004184	Монтажник, аудио-визуално оборудване
Q004185	Монтажник, електронно оборудване
Q004186	Монтажник, канцеларски машини
Q004187	Монтажник, микроелектронно оборудване
Q004188	Монтажник, производство на слаботокови предпазители
