C000001_no_000	Militære yrker og uoppgitt
C002372_no_001	akvariedirektør
C002372_no_002	akvariesjef
C002372_no_003	direktør i dyrepark
C002372_no_004	direktør i zoo
C002373_no_000	ruteplanlegger
C002374_no_000	yrkesfaglærer, frisør
C002375_no_000	skadeforsikringssjef
C002375_no_001	forsikringskoordinator
C002375_no_002	sjef, skadeserstatning
C002376_no_000	skipselektriker
C002376_no_001	maritim elektriker
C002377_no_000	massasjeterapeut
C002378_no_000	likestillings- og inkluderingsleder
C002378_no_001	likestillingssjef
C002378_no_002	sjef med ansvar for mangfold og inkludering
C002379_no_000	kurvmøbelmaker
C002380_no_000	nanoingeniør
C002381_no_000	sufflør
C002382_no_000	skipsmegler
C002383_no_000	skulptør
C002384_no_000	avdelingsleder
C002384_no_001	avdelingskoordinator
C002384_no_002	avdelingssjef
C002384_no_003	enhetsleder
C002384_no_004	enhetssjef
C002384_no_005	kontorsjef
C002384_no_006	leder av forretningsenhet
C002385_no_000	animasjonsdesigner
C002386_no_000	dyretransportsjåfør
C002386_no_001	sjåfør for dyretransport
C002386_no_002	sjåfør til transport av dyr
C002386_no_003	sjåfør til transport av levende dyr
C002387_no_000	produksjonstekniker, meieri
C002388_no_000	biokjemitekniker
C002389_no_000	mekaniker, gruveutstyr
C002389_no_001	maskinmekaniker, gruve
C002389_no_002	mekaniker, minedriftsutstyr
C002389_no_003	reparatør, gruveutstyr
C002390_no_000	ingeniørassistent
C002390_no_001	prosjektassistent
C002390_no_002	teknisk assistent
C002391_no_000	skjæremaskinoperatør
C002391_no_001	operatør av papirskjærer
C002392_no_000	tapetseringsarbeider
C002392_no_001	møbeltapetserer
C002392_no_002	sadelmaker
C002392_no_003	stolmaker
C002393_no_000	bryggerimester
C002394_no_000	jordmor
C002395_no_000	familierådgiver
C002396_no_000	koordinator, montering av skotøy
C002397_no_000	import-/eksportsjef innen porselen og glasstøy
C002398_no_000	montør av prefabrikkerte trebygninger
C002398_no_001	bygningsmontør
C002398_no_002	husmontør
C002398_no_003	montør av prefabrikerte hus
C002399_no_000	purser/kabinsjef
C002399_no_001	kabinansvarlig
C002399_no_002	purser
C002400_no_000	tremaler
C002401_no_000	kasserer ved kasino
C002401_no_001	kasinomedarbeider
C002402_no_000	husvakt
C002402_no_001	huspasser
C002403_no_000	operatør, plastpresse
C002403_no_001	operatør av hydraulisk presse
C002403_no_002	operatør, platsproduksjon
C002403_no_003	produksjonsmedarbeider, plastproduksjon
C002404_no_000	trafikkinformasjonsmedarbeider
C002404_no_001	kundeservicemedarbeider
C002405_no_000	konseptkunstner
C002406_no_000	medarbeider på hurtigmatrestaurant
C002406_no_001	fastfood-medarbeider
C002407_no_000	samlingsansvarlig, kunst
C002408_no_000	distribusjonssjef innen maskiner, industrielt utstyr, skip og fly
C002409_no_000	arbeidsleder, fly
C002410_no_000	brukergrensesnittdesigner
C002411_no_000	butikksjef, sportsartikler og friluftsutstyr
C002411_no_001	daglig leder i sportsforretning
C002411_no_002	sportsbutikksjef
C002412_no_000	språkskolelærer
C002413_no_000	datasenteroperatør
C002414_no_000	import-/eksportsjef innen tekstilindustrimaskiner
C002415_no_000	ingeniør, spillvann
C002416_no_000	spesialisert selger, kjøtt og kjøttprodukter
C002416_no_001	ekspeditør i slakterforretning
C002416_no_002	medhjelper i slakterforretning
C002417_no_000	sjef for bokhandel
C002417_no_001	bokhandelsjef
C002418_no_000	advokat
C002419_no_000	destilleriarbeider
C002419_no_001	destilleritekniker
C002419_no_002	medarbeider på destilleri
C002420_no_000	universitetslærer i antropologi
C002421_no_000	operatør av flismaskin
C002422_no_000	helsepsykolog
C002423_no_000	lærer, spesialskole
C002424_no_000	sjåfør, pasienttransport
C002424_no_001	ambulanseassistent
C002424_no_002	legevaktsjåfør
C002425_no_000	keramiker
C002425_no_001	modellør, keramikk
C002425_no_002	pottemaker
C002426_no_000	skredder
C002426_no_001	dameskredder
C002426_no_002	herreskredder
C002426_no_003	skreddermester
C002427_no_000	gasstekniker
C002427_no_001	energitekniker
C002427_no_002	gassinspektør
C002427_no_003	gassinstallatør
C002427_no_004	vvs-tekniker
C002428_no_000	planlegger, lærproduksjon
C002429_no_000	punktsveiser
C002429_no_001	robotsveiser
C002429_no_002	sveiser
C002430_no_000	pianobygger
C002430_no_001	instrumentbygger
C002430_no_002	instrumentmaker
C002430_no_003	musikkinstrumentbygger
C002430_no_004	pianostemmer
C002431_no_000	butikksjef, klær
C002431_no_001	butikksjef, babyklær
C002431_no_002	butikksjef, barneklær
C002431_no_003	butikksjef, dameklær
C002431_no_004	butikksjef, herreklær
C002431_no_005	butikksjef, mammaklær
C002431_no_006	butikksjef, mote
C002431_no_007	daglig leder, klesbutikk
C002432_no_000	operatør av planhøvel
C002432_no_001	operatør av overfres
C002432_no_002	operatør, cnc-overfres
C002433_no_000	aktivist
C002434_no_000	ansvarlig for medisinske journaler
C002435_no_000	tanatolog
C002435_no_001	forsker på døden
C002436_no_000	ølsommelier
C002436_no_001	ølekspert
C002436_no_002	ølspesialist
C002437_no_000	vindturbintekniker
C002437_no_001	vindmøllemontør
C002437_no_002	vindmølleoperatør
C002437_no_003	vindmølletekniker
C002437_no_004	vindtekniker
C002437_no_005	vindturbinoperatør
C002438_no_000	import-/eksportspesialist innen legemidler
C002438_no_001	import-/eksportspesialist innen farmasøytiske produkter
C002439_no_000	leder av jernbanedrift
C002440_no_000	innendørsgartner
C002440_no_001	gartner til innendørs beplantning
C002441_no_000	sosialrådgiver innen forsvaret
C002442_no_000	systemkoordinator
C002443_no_000	dekkmontør
C002443_no_001	dekkreparatør
C002444_no_000	servicetekniker, ettersalg
C002445_no_000	landbrukspolitisk medarbeider
C002446_no_000	butikksjef, aviser og kontorutstyr
C002446_no_001	butikksjef, papirvarehandel
C002446_no_002	kiosksjef
C002447_no_000	grossist innen verktøymaskiner
C002448_no_000	universitetslærer i næringsmiddelvitenskap
C002449_no_000	maskinoperatør, produksjon av betongblokk
C002449_no_001	betongarbeider
C002449_no_002	blokkmaskinoperatør
C002449_no_003	medarbeider på betonganlegg
C002449_no_004	operatør, betongblokkproduksjon
C002450_no_000	asbestsanerer
C002450_no_001	asbestarbeider
C002450_no_002	asbestmedarbeider
C002450_no_003	saneringsarbeider
C002450_no_004	saneringstekniker
C002451_no_000	økonom
C002452_no_000	finmekanikkdesigner
C002453_no_000	driftsansvarlig på flyplass
C002454_no_000	operatør av herdeovn
C002454_no_001	operatør av herdeovn – glass
C002455_no_000	kvalitetstekniker
C002456_no_000	scriptansvarlig
C002457_no_000	import-/eksportspesialist innen møbler, tepper og belysning
C002458_no_000	veterinærtekniker
C002459_no_000	leder for avfallshåndtering
C002459_no_001	ansvarlig for avfallshåndtering
C002459_no_002	avfallssjef
C002459_no_003	koordinator med ansvar for avfallshåndtering
C002459_no_004	sikkerhetsrepresentant med ansvar for avfallshåndtering
C002460_no_000	tegnspråktolk
C002461_no_000	koordinator, spesialskole
C002462_no_000	forsikringskonsulent
C002462_no_001	forsikringsagent
C002462_no_002	forsikringsassistent
C002462_no_003	forsikringsmedarbeider
C002463_no_000	pilot, trafikkflyger
C002464_no_000	yrkesfaglærer i handel og markedsføring
C002465_no_000	universitetslærer i litteraturvitenskap
C002466_no_000	kvalitetskontrollør, kjøretøymontering
C002467_no_000	salgsmedarbeider på togstasjon
C002468_no_000	sosialrådgiver innen fengselsvesenet
C002469_no_000	elektrotekniker
C002470_no_000	maskinoperatør, salgsautomater
C002470_no_001	automatmontør
C002471_no_000	arkivassistent
C002472_no_000	kostholdskokk
C002472_no_001	sykehjemskokk
C002473_no_000	lystekniker
C002474_no_000	operatør, fettrensing
C002475_no_000	produksjonsoperatør, meieri
C002475_no_001	maskinoperatør, meieriproduksjon
C002475_no_002	produksjonsmedarbeider, meieri
C002476_no_000	fotomodell
C002476_no_001	glamourmodell
C002476_no_002	hårmodell
C002476_no_003	mannekeng
C002476_no_004	plus size-modell
C002477_no_000	GIS-spesialist
C002478_no_000	medarbeider på turistkontor
C002478_no_001	turistkontorleder
C002479_no_000	rekvisitør
C002480_no_000	skoleinspektør
C002481_no_000	spesiallege
C002482_no_000	salgsassistent
C002482_no_001	butikkassistent
C002482_no_002	butikkmedarbeider
C002482_no_003	butikkselger
C002482_no_004	selger
C002483_no_000	butikksjef, tekstiler
C002483_no_001	daglig leder, tekstilforretning
C002484_no_000	kaptein i hæren
C002484_no_001	kompanisjef
C002484_no_002	troppskommandør
C002485_no_000	brannkonstabel, sjøfart
C002485_no_001	brannmann innenfor sjøfart
C002485_no_002	brannmann, MIRG-styrke
C002486_no_000	personlig assistent
C002487_no_000	børstemaker
C002488_no_000	utrykningsvakt
C002488_no_001	alarmoperatør
C002488_no_002	utrykningsvekter
C002489_no_000	ansvarlig for kundeopplevelser
C002490_no_000	samlivsterapeut
C002491_no_000	måletekniker innen gruvedrift
C002492_no_000	sjefskonduktør
C002492_no_001	leder av togpersonalet
C002492_no_002	togkonduktør
C002493_no_000	leder, kontaktsenter
C002494_no_000	IKT-forskningsleder
C002494_no_001	IKT-forskningssjef
C002494_no_002	forskningssjef IKT
C002495_no_000	maskinassistent, skip
C002496_no_000	anleggsleder, kloakksystem
C002496_no_001	leder for vann og avløp
C002496_no_002	vann- og avløpssjef
C002497_no_000	arbeidsleder, rivningsarbeid
C002498_no_000	yrkesfaglærer i kunsthåndverk
C002499_no_000	økonomisk utviklingskoordinator
C002500_no_000	PR-konsulent
C002501_no_000	IKT-systemadministrator
C002502_no_000	sentralbanksjef
C002502_no_001	nasjonalbankdirektør
C002503_no_000	ingeniør, aerodynamikk
C002504_no_000	IKT-lærer
C002505_no_000	butikksjef
C002505_no_001	daglig leder, butikk
C002506_no_000	dataspillutvikler
C002507_no_000	papirmaker
C002508_no_000	ressurssjef
C002508_no_001	ressursadministrator
C002508_no_002	ressurskoordinator
C002509_no_000	produktsjef
C002509_no_001	FoU-leder
C002509_no_002	produktutviklingssjef
C002510_no_000	pakker av tobakksblader
C002510_no_001	medarbeider som binder tobakksblader i bunter
C002510_no_002	medarbeider som pakker tobakksblader
C002510_no_003	produksjonsmedarbeider som ruller tobakksblader
C002511_no_000	import-/eksportsjef innen drikkevarer
C002512_no_000	distribusjonssjef innen avfall og skrot
C002513_no_000	maskinoperatør, steinsplitting
C002513_no_001	operatør av steinsplitter
C002514_no_000	energisjef
C002515_no_000	pizzabaker
C002515_no_001	pizzakokk
C002516_no_000	utreder, økonomisk svindel
C002517_no_000	brannmester
C002517_no_001	brigadeleder
C002518_no_000	grossist innen elektriske husholdningsapparater
C002519_no_000	miljø- og helseinspektør
C002520_no_000	pyroteknisk designer
C002521_no_000	operatør av ekstruderingsmaskin
C002522_no_000	spesialisert selger, lyd- og bildeutstyr
C002522_no_001	ekspeditør i radio- og tv-forretning
C002522_no_002	selger av AV-utstyr
C002522_no_003	selger av audiovisuelt utstyr
C002522_no_004	selger av multimedieutstyr
C002523_no_000	idrettslærer i videregående skole
C002524_no_000	hage- og parkarbeider
C002524_no_001	gartneriarbeider
C002525_no_000	HMS-ingeniør
C002526_no_000	lærvaredesigner
C002527_no_000	personalutviklingssjef
C002528_no_000	forsikringsmegler
C002529_no_000	fjærkrefanger
C002529_no_001	fanger av fjærkre
C002529_no_002	hønsefanger
C002529_no_003	kyllingfanger
C002530_no_000	spesialisert friluftsaktivitør
C002531_no_000	skiltmaker
C002531_no_001	skiltmaler
C002531_no_002	skilttekniker
C002532_no_000	restaurantvert
C002532_no_001	gjestgiver
C002532_no_002	vert
C002532_no_003	vertinne
C002533_no_000	arbeidsmarkedspolitisk medarbeider
C002534_no_000	operatør av fresemaskin
C002534_no_001	CNC-dreier
C002534_no_002	CNC-freseoperatør
C002534_no_003	CNC-operatør
C002534_no_004	CNC-tekniker
C002534_no_005	freseoperatør
C002534_no_006	industrimekaniker
C002535_no_000	grossist innen tekstiler og tekstilhalvfabrikata og -råmaterialer
C002536_no_000	opinionsmåler
C002536_no_001	intervjuer
C002537_no_000	spåkone/-mann
C002537_no_001	numerolog
C002537_no_002	sannsiger
C002537_no_003	spåmann
C002537_no_004	tankeleser
C002538_no_000	utleiemedarbeider innen lastebiler
C002538_no_001	medarbeider, lastebilutleie
C002539_no_000	kosmetolog
C002539_no_001	hudpleier
C002539_no_002	kosmetiker
C002540_no_000	sjefsommelier
C002540_no_001	ledende vinkelner
C002541_no_000	kontrollør, kjemisk prosessanlegg
C002542_no_000	ambassaderåd
C002542_no_001	ambassademedarbeider
C002542_no_002	charge d'affaires
C002542_no_003	handelsattaché
C002542_no_004	kulturattaché
C002543_no_000	privatkokk
C002544_no_000	tekniker, tekstilveving
C002544_no_001	tekstilvever
C002545_no_000	sjef for IKT-kvalitetssikring
C002546_no_000	leder for kafferøsting
C002547_no_000	tapetserer
C002547_no_001	bygningstapetserer
C002547_no_002	dekoratør
C002548_no_000	etterforsker av forsikringssvindel
C002549_no_000	driftsjef, ferdigbehandling av lær
C002550_no_000	skorsteinsfeier
C002551_no_000	togsignalkontrollør
C002551_no_001	trafikkleder, jernbane
C002552_no_000	intermodal logistikksjef
C002552_no_001	logistikksjef, intermodale transporter
C002553_no_000	Portør
C002553_no_001	sykehusportør
C002554_no_000	spesialist i fysioterapi
C002555_no_000	resirkuleringsleder ved akvakulturbruk
C002556_no_000	universitetslærer i historie
C002557_no_000	VA-ingeniør
C002558_no_000	tollfunksjonær
C002559_no_000	inspektør, industriavfall
C002560_no_000	landskapsdesigner
C002561_no_000	montør av avisingsutstyr på fly
C002562_no_000	IKT-sikkerhetstekniker
C002563_no_000	inspektør, båt- og fartøykonstruksjon
C002563_no_001	kvalitetsinspektør innenfor skipsmontering
C002564_no_000	journalist
C002565_no_000	teknisk tegner
C002566_no_000	grossist innen kontormøbler
C002567_no_000	parkarbeider
C002567_no_001	anleggsgartner
C002567_no_002	faglært gartner
C002567_no_003	golfgartner
C002567_no_004	spesialist på gressplener
C002568_no_000	viltforvalter
C002569_no_000	distribusjonssjef innen husholdningsartikler
C002570_no_000	operatør av støpemaskin, optisk disklesing
C002571_no_000	formann, rigging
C002571_no_001	sjefrigger
C002572_no_000	feltprest
C002573_no_000	skipstømrer
C002573_no_001	båtbygger
C002573_no_002	skipsbygger
C002573_no_003	skipsbyggmester
C002574_no_000	flyttebilsjåfør
C002575_no_000	terrassolegger
C002575_no_001	terrazzolegger
C002576_no_000	operatør av varmebehandlingsovn
C002576_no_001	ovnoperatør
C002577_no_000	operatør av metallhøvel
C002577_no_001	verktøymaker
C002578_no_000	utleiemedarbeider innen varer til fritid og sport
C002578_no_001	medarbeider, utleie av varer til fritid og sport
C002579_no_000	spesialtannlege
C002580_no_000	oppdrettssjef ved akvakulturbruk
C002580_no_001	akvakultursjef
C002581_no_000	videotekniker
C002582_no_000	grossist innen jernvare- og VVS-utstyr
C002583_no_000	konstruktør, landbruksutstyr
C002584_no_000	arbeidsleder, jernkonstruksjonsarbeid
C002585_no_000	fasaderenholder
C002585_no_001	graffitifjerner
C002586_no_000	museumstekniker
C002587_no_000	tekniker, produksjon av lærvarer
C002588_no_000	e-læringsarkitekt
C002589_no_000	performancekunstner
C002590_no_000	arbeidsleder, produksjon av skotøy
C002591_no_000	operatør av rettemaskin
C002592_no_000	IKT-systemanalytiker
C002593_no_000	humleprodusent
C002593_no_001	humledyrker
C002594_no_000	import-/eksportsjef innen møbler, tepper og belysning
C002595_no_000	osteopat
C002596_no_000	miljøekspert
C002597_no_000	ansvarlig for webinnhold
C002598_no_000	salgssjef
C002598_no_001	salgsdirektør
C002599_no_000	sosialarbeider innen psykiatrien
C002600_no_000	maskinoperatør, produksjon av trepaller
C002601_no_000	lakkerer, kjøretøy
C002601_no_001	billakkerer
C002601_no_002	overflatebehandler
C002601_no_003	sprøytelakkerer
C002602_no_000	taksidermist
C002603_no_000	IKT-produktsjef
C002603_no_001	produktsjef for IKT
C002603_no_002	sjef for IKT-produkter
C002604_no_000	avdelingsleder i butikk
C002604_no_001	avdelingsleder, detaljhandel
C002605_no_000	leder for ungdomsprogram
C002605_no_001	ungdomsprogram, direktør
C002606_no_000	mikrobiolog
C002607_no_000	montør av fotoutstyr
C002607_no_001	kameramontør
C002607_no_002	montør av kamerautstyr
C002607_no_003	montør av projektorer
C002607_no_004	montør av videokameraer
C002608_no_000	IKT-systemutvikler
C002609_no_000	leder for matproduksjon
C002610_no_000	rettsassistent
C002611_no_000	klekkerimedarbeider ved akvakulturbruk
C002611_no_001	medarbeider ved dambruk
C002612_no_000	kontrolltekniker, kjemi
C002613_no_000	konsul
C002613_no_001	attaché
C002613_no_002	charge d'affaires
C002613_no_003	generalkonsul
C002613_no_004	æreskonsul
C002614_no_000	betongarbeider
C002614_no_001	sementarbeider
C002615_no_000	geofysiker
C002616_no_000	advokat, eiendomshandel
C002617_no_000	operatør av båndsag
C002617_no_001	operatør av automatisk båndsag
C002617_no_002	operatør av dobbelt båndsag
C002617_no_003	operatør av metallbåndsag
C002617_no_004	operatør av trebåndsag
C002617_no_005	operatør av vertikal båndsag
C002618_no_000	kvalitets- og sikkerhetstekniker
C002619_no_000	serigraf
C002619_no_001	silketrykker
C002619_no_002	sjablongtrykker
C002620_no_000	ansvarlig for IKT-fleksibilitet
C002621_no_000	sosialarbeider for flyktninger og innvandrere
C002622_no_000	vedlikeholdsansvarlig, verkstedindustri
C002623_no_000	tekniker innen fysikk
C002624_no_000	utvikler av opplæringsmateriell
C002625_no_000	lingvist
C002626_no_000	radiograf innen stråleterapi
C002627_no_000	akvakulturarbeider
C002627_no_001	akvakulturmedarbeider, vannbasert anlegg
C002628_no_000	operatør av søylebormaskin
C002628_no_001	maskinoperatør
C002629_no_000	lydmikser
C002630_no_000	import-/eksportspesialist innen klær og skotøy
C002631_no_000	spesialisert selger innen legemidler
C002631_no_001	apotekmedarbeider
C002631_no_002	apotektekniker
C002632_no_000	låsesmed
C002633_no_000	publikasjonskoordinator
C002633_no_001	kommunikasjonskoordinator
C002634_no_000	gravplassarbeidere
C002634_no_001	gravlundarbeider
C002634_no_002	kirkegårdsarbeider
C002635_no_000	operatør av dampturbin
C002636_no_000	leder, forsyningskjede
C002637_no_000	transportingeniør
C002638_no_000	grossist innen gruve-, bygg- og anleggsmaskiner
C002639_no_000	IKT-brukerstøttemedarbeider
C002640_no_000	passmedarbeider
C002641_no_000	tilsynsperson, strikkemaskin
C002642_no_000	ingeniør, mekatronikk
C002643_no_000	ingeniør, optikk
C002644_no_000	litograf
C002644_no_001	steintrykker
C002645_no_000	ingeniør, avfallsbehandling
C002646_no_000	pantelångarantist
C002647_no_000	selger av medisinsk utstyr
C002648_no_000	industridesigner
C002649_no_000	operatør av spiretank for bygg
C002649_no_001	brygger
C002649_no_002	medarbeider i malteri
C002650_no_000	studieveileder
C002651_no_000	melkekontrollør
C002651_no_001	inspektør av råmelk
C002652_no_000	driftsleder ved akvakulturbruk
C002653_no_000	tredreier
C002653_no_001	CNC-maskinarbeider
C002653_no_002	dreier
C002653_no_003	maskindreier
C002653_no_004	treindustriarbeider
C002654_no_000	miljøingeniør
C002655_no_000	strømforsyningsingeniør
C002656_no_000	fibermaskinoperatør
C002657_no_000	rettsskriver
C002658_no_000	video- og filmredigerer
C002659_no_000	tårnarbeider
C002659_no_001	arbeidsklatrer
C002659_no_002	høydearbeider
C002660_no_000	blogger
C002661_no_000	statistiker
C002662_no_000	scenetekniker
C002663_no_000	spesialist i biomedisin
C002664_no_000	butikksjef, delikatesser
C002664_no_001	avdelingssjef i delikatesseforretning
C002665_no_000	anklager
C002666_no_000	antropolog
C002667_no_000	letegeolog
C002668_no_000	distribusjonssjef innen gruve-, bygg- og anleggsmaskiner
C002669_no_000	operatør av varmfolietrykker
C002670_no_000	kvalitetsbedømmer, tømmer
C002671_no_000	flymontør
C002671_no_001	helikoptermontør
C002671_no_002	montør av flykontrollutstyr
C002671_no_003	montør av jetfly
C002671_no_004	montør av mekaniske systemer til fly
C002671_no_005	montør av militærfly
C002672_no_000	kartograf
C002673_no_000	produktutviklingssjef, lærvarer
C002674_no_000	lønningsassistent
C002674_no_001	lønningsmedarbeider
C002674_no_002	lønnsmedarbeider
C002675_no_000	branntekniker
C002676_no_000	universitetslærer i filosofi
C002677_no_000	maskinoperatør, produksjon av vinylplater
C002677_no_001	operatør til vinylpresse
C002678_no_000	storyboard-tegner
C002679_no_000	dørselger
C002679_no_001	handelsreisende
C002679_no_002	omreisende selger
C002680_no_000	ingeniør, optomekanikk
C002681_no_000	arbeidsleder, produksjon av elektrisk utstyr
C002682_no_000	prognosesjef
C002682_no_001	prognoseanalytiker
C002683_no_000	arbeidsleder, gipsarbeid
C002684_no_000	montør, metallprodukter
C002685_no_000	arbeidsleder for dataregistrering
C002686_no_000	fører av begravelsesbil
C002687_no_000	psykoterapeut
C002688_no_000	ingeniør, termodynamikk
C002689_no_000	takstkonsulent, eiendom
C002690_no_000	import-/eksportsjef innen sukker, sjokolade og søtsaker
C002691_no_000	operatør av kjettingmaskin
C002691_no_001	maskinpasser, kjettingmaskin
C002692_no_000	mattekniker
C002693_no_000	medarbeider innen bedriftsutvikling
C002694_no_000	sikkerhetsvakt på flyplass
C002694_no_001	flyplassvekter
C002694_no_002	medarbeider i sikkerhetskontrollen på flyplass
C002694_no_003	sikkerhetskontrollør på flyplass
C002694_no_004	sikkerhetsmedarbeider på flyplass
C002695_no_000	shiatsubehandler
C002696_no_000	luftfartsinspektør
C002697_no_000	anleggsmaskinmekaniker
C002697_no_001	maskinmekaniker
C002698_no_000	gateselger
C002698_no_001	gatehandler
C002698_no_002	torghandler
C002698_no_003	torgselger
C002699_no_000	rigger
C002700_no_000	lydingeniør
C002701_no_000	forfatter
C002702_no_000	kurvmaker
C002703_no_000	risk manager
C002704_no_000	setter
C002704_no_001	grafisk tekniker
C002704_no_002	trykker
C002704_no_003	typograf
C002705_no_000	kvalitetskontrollør
C002706_no_000	maskinoperatør, gummiproduksjon
C002707_no_000	treimpregneringsarbeider
C002707_no_001	operatør av maskin til trebearbeiding
C002707_no_002	operatør av maskin til trebehandling
C002708_no_000	statistiker, biometri
C002709_no_000	maskinoperatør, pakking og fylling
C002709_no_001	maskinoperatør til emballerings- og påfyllingsmaskiner
C002710_no_000	inspektør, flykonstruksjon
C002710_no_001	flytekniker
C002710_no_002	flyteknisk kontrollør
C002711_no_000	sjefskonditor
C002712_no_000	databaseutvikler
C002713_no_000	arbeidsleder, monteringsoperasjoner
C002714_no_000	import-/eksportsjef innen husholdningsapparater
C002715_no_000	anleggssjef i steinbrudd
C002715_no_001	gruveingeniør
C002715_no_002	steinbruddleder
C002716_no_000	tekniker innen fjernmåling
C002717_no_000	tekstforfatter, reklame
C002718_no_000	spesialeffektmaker
C002719_no_000	IKT-konsulent
C002720_no_000	arbeidsleder, kranarbeid
C002721_no_000	kontrollromoperatør, kjemisk anlegg
C002722_no_000	butikksjef, motorkjøretøyer
C002722_no_001	salgssjef, bruktbiler
C002722_no_002	salgssjef, motorkjøretøyer
C002722_no_003	salgssjef, nye biler
C002723_no_000	løytnant
C002724_no_000	saueoppdretter
C002724_no_001	sauebonde
C002724_no_002	saueklipper
C002725_no_000	flyvedlikeholdskoordinator
C002725_no_001	arbeidsleder, vedlikeholdsverksted, fly
C002726_no_000	import-/eksportsjef innen fisk, skalldyr og bløtdyr
C002727_no_000	kontrollpaneltester
C002727_no_001	produkttester, kontrollpaneler
C002727_no_002	tester av styrepaneler
C002727_no_003	tester av styretavler
C002728_no_000	energiingeniør
C002729_no_000	isolasjonsarbeider
C002729_no_001	isolasjonsmontør
C002729_no_002	isolatør
C002730_no_000	administrasjonsmedarbeider
C002730_no_001	administrasjonsassistent
C002731_no_000	driftstekniker, kjernekraftverk
C002732_no_000	glasskunstner
C002733_no_000	tennistrener
C002734_no_000	tekniker, maskinteknikk
C002735_no_000	rustbehandler
C002735_no_001	operatør av sandblåser
C002735_no_002	prosessoperatør, rustbehandling
C002736_no_000	flymotortester
C002737_no_000	tekniker for mobile enheter
C002738_no_000	ventilasjonsingeniør, gruvedrift
C002739_no_000	inspektør, farlige materialer
C002740_no_000	stasjonssjef, jernbane
C002740_no_001	stasjonsmester
C002741_no_000	flyinstruktør
C002742_no_000	kostymemaker
C002742_no_001	kostymedesigner
C002742_no_002	kostymetegner
C002742_no_003	teaterskredder
C002742_no_004	teppemaker
C002743_no_000	teppevever
C002744_no_000	analytiker kredittrisiko
C002745_no_000	skattepolitisk analytiker
C002746_no_000	lektor i helsefag
C002747_no_000	anleggsleder
C002747_no_001	eiendomsforvalter
C002747_no_002	eiendomssjef
C002747_no_003	facility manager
C002747_no_004	leder for fasilitetsstyring
C002747_no_005	vedlikeholdssjef, eiendom
C002748_no_000	medarbeider innen eiendomsoverdragelser
C002749_no_000	kvalitetsbedømmer i næringsmiddelindustrien
C002749_no_001	næringsmiddeltekniker
C002750_no_000	namsmann/innkrever
C002751_no_000	guide
C002751_no_001	omviser på museum
C002751_no_002	turistfører
C002751_no_003	turistguide
C002751_no_004	turleder
C002752_no_000	servicetekniker, kontorutstyr
C002752_no_001	IT-reparatør
C002752_no_002	IT-tekniker
C002753_no_000	import-/eksportsjef innen levende dyr
C002754_no_000	medarbeider i flycateringselskap
C002754_no_001	cateringmedarbeider, fly
C002755_no_000	taktekker
C002755_no_001	taklegger
C002756_no_000	filmfremkaller
C002756_no_001	filmtekniker
C002757_no_000	operatør av påledriver
C002757_no_001	operatør til nedramming av peler
C002758_no_000	kvegoppdretter
C002758_no_001	kvegavler
C002758_no_002	kvegprodusent
C002759_no_000	motorkontrollør, kjøretøy
C002760_no_000	import-/eksportspesialist innen maskiner, industrielt utstyr, skip og fly
C002761_no_000	medieplanlegger
C002762_no_000	musikkinstrumentmaker, membranofoninstrumenter
C002762_no_001	instrumentbygger
C002762_no_002	instrumentmaker
C002762_no_003	musikkinstrumentbygger
C002762_no_004	musikkinstrumentmaker
C002763_no_000	førstehjelpsinstruktør
C002764_no_000	sjauer
C002764_no_001	havnearbeider
C002764_no_002	laste- og lossearbeider
C002764_no_003	stuer
C002765_no_000	operatør av tungt gruveutstyr, dagbrudd
C002765_no_001	dumperfører
C002766_no_000	immunolog
C002767_no_000	miljøpolitisk medarbeider
C002768_no_000	turoperatørrepresentant
C002768_no_001	representant for reisearrangør
C002768_no_002	representant for reiseselskap
C002768_no_003	representant for turoperatør
C002769_no_000	inspektør innen luftfartselektronikk
C002770_no_000	prosessingeniør
C002771_no_000	motorsykkelbud
C002772_no_000	trelastsjef
C002772_no_001	daglig leder, tømmerfabrikk
C002773_no_000	universitetslærer i jus
C002774_no_000	nyhetsredaktør
C002775_no_000	sjef for hobbybutikk
C002775_no_001	Sjef for DIY-butikk
C002776_no_000	spesialisert selger, tobakk
C002776_no_001	ekspeditør i tobakkshandel
C002776_no_002	selger av tobakksvarer
C002776_no_003	sigarhandler
C002776_no_004	tobakkselger
C002776_no_005	tobakkshandler
C002777_no_000	finanssjef i bank
C002777_no_001	CFO
C002777_no_002	bankkasserer
C002777_no_003	finansrådgiver
C002777_no_004	kasserer
C002777_no_005	sjefanalytiker
C002778_no_000	prosessoperatør, varmebehandling av melk
C002778_no_001	produksjonsmedarbeider til varmebehandling av melk
C002779_no_000	maskinoperatør, støping av murstein og teglstein
C002780_no_000	støttepedagog i barnehage
C002781_no_000	sirkuslærer
C002782_no_000	teknisk selger innen maskiner og industrielt utstyr
C002783_no_000	epidemiolog
C002784_no_000	leder, sosialarbeid
C002785_no_000	distribusjonssjef innen parfyme og kosmetikk
C002786_no_000	ungdomskonsulent
C002787_no_000	forretningsutvikler
C002788_no_000	sjef for supermarked
C002788_no_001	butikksjef i supermarked
C002788_no_002	varehussjef
C002789_no_000	import-/eksportspesialist for fisk, skalldyr og bløtdyr
