Q000001	adjunct al procurorului general
Q002367	laborant  determinari  fizico-mecanice  pentru  lucrari  de  drumuri  sipoduri
Q002368	sef echipa intretinere cale metrou
Q002369	sef echipa lucrari arta metrou
Q002370	lucrator pentru drumuri si cai ferate
Q002371	muncitor in taieri structuri cu scule diamantate
Q002372	acoperitor-invelitor tigla, azbociment, tabla
Q002373	constructor de acoperisuri
Q002374	faiantar
Q002375	mozaicar (exclusiv restaurator)
Q002376	parchetar
Q002377	mozaicar restaurator
Q002378	linolist
Q002379	montator placaje uscate
Q002380	ipsosar (exclusiv restaurator)
Q002381	turnator ornamentalist
Q002382	ipsosar restaurator ornamente din ipsos
Q002383	izolator fonic
Q002384	izolator frigorific
Q002385	izolator hidrofug
Q002386	izolator lucrari speciale (antiacide si de protectie)
Q002387	izolator termic
Q002388	montator pereti si plafoane din ghips-carton
Q002389	asamblator-montator profile aluminiu si geam termopan
Q002390	confectioner vitraje izolante
Q002391	confectioner tamplarie din aluminiu si mase plastice
Q002392	montator sisteme tamplarie termoizolanta
Q002393	confectioner-montator tamplarie cu vitraj izolant
Q002394	montator materiale geosintetice
Q002395	sudor geomembrana
Q002396	montator geogrile
Q002397	montator materiale geotextile si geocompozite
Q002398	montator sisteme opace de termoizolare pentru cladiri
Q002399	geamgiu
Q002400	detector pierderi apa si gaze
Q002401	instalator apa, canal
Q002402	instalator frigotehnist
Q002403	instalator retele de distributie/ transport fluide
Q002404	instalator ventilare si conditionare apa
Q002405	verificator canale subterane
Q002406	instalator centrale termice
Q002407	instalator  autorizat  proiectare  executie  si/  sau  exploatare  obiectiv/sisteme de distributie
Q002408	instalator retele termice si sanitare
Q002409	instalator pentru pompe de caldura
Q002410	instalator pentru sisteme geotermale
Q002411	frigoriferist (frigotehnist)
Q002412	tapetar
Q002413	zugrav
Q002414	stucaturist
Q002415	lacuitor lemn
Q002416	vopsitor industrial
Q002417	finisor-lacuitor lemn
Q002418	vopsitor
Q002419	cosar
Q002420	curatitor de fatade
Q002421	modelier lemn
Q002422	modelier metal
Q002423	modelator-miezuitor
Q002424	modelier naval
Q002425	operator la masini de brichetat span
Q002426	topitor aliaje tipografie
Q002427	topitor fonta si neferoase
Q002428	topitor, turnator metale si aliaje neferoase
Q002429	turnator formator
Q002430	turnator pregatitor otelarie
Q002431	turnator modelier
Q002432	modelor prototipuri auto
Q002433	brazor
Q002434	sudor manual cu flacara de gaze
Q002435	sudor manual cu arc electric
Q002436	sudor cu arc electric acoperit sub strat de flux
Q002437	operator taiere
Q002438	sudor cu arc electric cu electrod fuzibil in mediu de gaz protector
Q002439	sudor cu arc electric cu electrod nefuzibil in mediu de gaz protector
Q002440	sudor
Q002441	cazangiu recipiente
Q002442	probator hidraulic cazane, tevi, recipiente
Q002443	tinichigiu carosier
Q002444	tinichigiu industrial
Q002445	tinichigiu de santier
Q002446	tinichigiu structurist de aviatie
Q002447	cazangiu tevar
Q002448	cazangiu formator
Q002449	tinichigiu restaurator
Q002450	tinichigiu sisteme de acoperisuri si invelitori
Q002451	tinichigiu sisteme de ventilatie
Q002452	tinichigiu in constructii
Q002453	finisor cocleti
Q002454	finisor ace si accesorii
Q002455	confectioner capace de carde
Q002456	confectioner cocleti
Q002457	confectioner plase din sarma
Q002458	formator tevi prin sudare
Q002459	lacatus constructii metalice si navale
Q002460	lacatus de mina
Q002461	lacatus revizie vagoane
Q002462	lacatus mecanic
Q002463	lacatus-montator
Q002464	reconditioner scule si utilaje petroliere
Q002465	sanfrenator
Q002466	pregatitor, montator, reparator ite, cocleti, lamele, spete
Q002467	repasator garnituri carde
Q002468	tubulator naval
Q002469	masinist la litografiat si vernisat tabla
Q002470	masinist la confectionarea ambalajelor metalice
Q002471	masinist la confectionarea tuburilor de aluminiu
Q002472	constructor-montator de structuri metalice
Q002473	masinist la fabricarea acelor si accesoriilor
Q002474	nituitor
Q002475	lacatus mecanic de intretinere si reparatii universale
Q002476	masinist la confectionarea spetelor si spiralelor
Q002477	montator-ajustor spete
Q002478	lipitor si protejator spete
Q002479	taietor garnituri de carde
Q002480	masinist mecanic la confectionare garnituri carde
Q002481	lacatus-depanator utilaje calcul
Q002482	operator la montarea si conservarea produselor dupa probe
Q002483	schelar
Q002484	confectioner-montator structuri metalice pentru constructii
Q002485	montator fatade si pereti cortina
Q002486	mecanic operator
Q002487	mecanic-montator   instalatii   cu   cablu   in   silvicultura   si   exploatariforestiere
Q002488	presator piese din pulberi metalice
Q002489	stantator
Q002490	forjor mecanic
Q002491	fierar/ potcovar
Q002492	finisor ferite
Q002493	controlor de calitate la forjare
Q002494	controlor de calitate la turnare
Q002495	dusisator-polizator
Q002496	lacatus SDV
Q002497	sculer-matriter
Q002498	lacatus AMC
Q002499	prelucrator prin electroeroziune
Q002500	lacatus la prelucrarea si indreptarea tevilor ghintuite
Q002501	lacatus constructii structuri aeronave
Q002502	reglor la masini pentru confectionarea elementelor galvanice
Q002503	reglor benzi montaj
Q002504	masinist la linii automate aschietoare
Q002505	reglor masini de bobinat si platinat
Q002506	reglor la masini de prelucrare mase plastice
Q002507	reglor masini-unelte
Q002508	reglor-montator
Q002509	reglor la masini pentru fabricarea lampilor electrice
Q002510	reglor si reglor-conductor la masini-unelte
Q002511	conductor de instalatii
Q002512	operator la masini-unelte semiautomate si automate
Q002513	dozator la fabricarea electrozilor de sudura
Q002514	masinist la lame de masini pentru automate aschietoare
Q002515	degresator-imersioner
Q002516	uscator electrozi de sudura
Q002517	masinist la masini speciale fara aschiere
Q002518	preparator amestec de invelis
Q002519	pregatitor sarma
Q002520	finisator electrozi de sudura
Q002521	masinist la masini speciale de aschiere
Q002522	masinist  la  confectionarea  tuburilor  de  protectie  si  a  dozelor  deramificatie
Q002523	operator la masini-unelte cu comanda numerica
Q002524	ascutitor laminate la cald
Q002525	ascutitor laminate la rece
Q002526	ascutitor-calitor garnituri de carde
Q002527	ascutitor scule, instrumente medicale si obiecte de uz casnic
Q002528	debitator-slefuitor perii de masini electrice
Q002529	polizator
Q002530	frezor universal
Q002531	honuitor, rodator-lepuitor
Q002532	rabotor-mortezor universal
Q002533	strungar universal
Q002534	brosator
Q002535	frezor la masini roti dintate
Q002536	gravor mecanic
Q002537	rabotor-mortezor roti dintate
Q002538	rectificator dantura caneluri
Q002539	strungar la strung paralel si de detalonat
Q002540	strungar la strung revolver
Q002541	strungar la strung carusel
Q002542	strungar la masini orizontale
Q002543	strungar la masini de alezat
Q002544	strungar la masini de prelucrat in coordonate
Q002545	strungar la masini de strunjit roti cai ferate
Q002546	rectificator piese producatoare de ochiuri
Q002547	slefuitor metale cu plumb industria de armament
Q002548	curatitor-sablator
Q002549	electromecanic auto
Q002550	mecanic auto
Q002551	mecanic aviatie
Q002552	lacatus-montator agregate energetice si de transport
Q002553	mecanic utilaj
Q002554	motorist
Q002555	ungator-gresor
Q002556	operator  in  verificarea,  reincarcarea  si  repararea  stingatoarelor  deincendiu
Q002557	mecanic intretinere si reparatii masini de cusut industriale
Q002558	operator   in   verificarea,   intretinerea   si   repararea   autospecialelordestinate apararii impotriva incendiilor
Q002559	mecanic masini agricole
Q002560	mecanic trolist
Q002561	AMC-ist
Q002562	armurier
Q002563	blocator, chituitor, deblocator
Q002564	degresator, curatator piese si aparate optice
Q002565	lipitor lentile si prisme
Q002566	montator aparatura optica
Q002567	optician
Q002568	optician armament
Q002569	confectioner seringi
Q002570	presator piese optice
Q002571	reparator aparate foto
Q002572	reparator stilouri, brichete
Q002573	reparator umbrele
Q002574	tratamentist piese optice
Q002575	metrolog  si  depanator  mecanica  fina,  tehnica  digitala  si  analogica(MFTDA)
Q002576	metrolog verificator
Q002577	acordor acordeoane, armonici
Q002578	acordor piane, pianine, orga, tambal
Q002579	caserator si slefuitor de celuloid pentru carcase acordeoane
Q002580	ceruitor de piastrine pentru acordeoane
Q002581	constructor-reparator de acordeoane si armonici
Q002582	filator corzi pentru piane
Q002583	lutier
Q002584	constructor restaurator de orgi
Q002585	argintar
Q002586	bijutier metale pretioase
Q002587	confectioner stampile de cauciuc, metal, facsimile
Q002588	gravor manual
Q002589	tintuitor
Q002590	bijutier metale comune
Q002591	giuvaergiu
Q002592	slefuitor diamante naturale
Q002593	maistru bijutier
Q002594	olar ceramica (artizanat)
Q002595	pictor decor
Q002596	gravor produse de sticla
Q002597	pictor pe sticla si ceramica
Q002598	confectioner jucarii
Q002599	confectioner plute
Q002600	confectioner garnituri pentru etansare
Q002601	pirogravor
Q002602	ramar poleitor
Q002603	confectioner creta scolara
Q002604	dogar manual
Q002605	lumanarar
Q002606	confectioner cutite, brice, bratari, andrele, agrafe, inele
Q002607	confectioner nasturi, piepteni
Q002608	confectioner obiecte casnice din deseuri de aluminiu si alte metale
Q002609	confectioner obiecte din ipsos
Q002610	confectioner obiecte din os, scoica, mica etc.
Q002611	confectioner corzi din intestine
Q002612	incadrator tablouri
Q002613	confectioner materiale didactice pentru stiintele naturii
Q002614	confectioner maturi
Q002615	legator de par
Q002616	sortator, spalator par
Q002617	prelucrator de par la masina
Q002618	prelucrator manual de par
Q002619	impletitor din panglica impletita
Q002620	pieptanator de par la masina
Q002621	fierbator-uscator de par
Q002622	confectioner articole hartie
Q002623	confectioner bibelouri din Jenille
Q002624	velator-matisor
Q002625	confectioner manual de produse din sfori sau franghii
Q002626	ghemuitor
Q002627	polierator franghii
Q002628	cablator franghii
Q002629	saluzitor franghii
Q002630	confectioner unelte pescuit din plase
Q002631	prelucrator de fulgi si pene
Q002632	ajutor maistru filator
Q002633	tricoter manual
Q002634	ajutor maistru tesator, tricoter
Q002635	crosetor
Q002636	impletitor textile
Q002637	pregatitor si confectioner cataloage mostre
Q002638	confectioner tricotaje dupa comanda
Q002639	finisor textile (vopsitor, imprimeur)
Q002640	aburitor textile
Q002641	tesator manual
Q002642	cusator manusi piele
Q002643	croitor manusi piele
Q002644	finisor manusi piele
Q002645	cusator articole marochinarie
Q002646	pregatitor articole marochinarie
Q002647	asamblator-montator articole marochinarie
Q002648	confectioner manual in metaloplastie
Q002649	confectioner proteze dentare
Q002650	confectioner proteze ortopedice
Q002651	confectioner jaluzele
Q002652	impletitor fibre plastice
Q002653	confectioner flori artificiale
Q002654	culegator la masina de cules si turnat randuri (linotipist)
Q002655	culegator  la  masina  de  perforat  programe  pentru  masinile  de  turnattext (monotastor)
Q002656	culegator la masina de turnat randuri pentru titluri (LUDLOV)
Q002657	culegator manual (zetar)
Q002658	frezor-montator clisee
Q002659	stereotipar
Q002660	galvanotipist
Q002661	corodor prin procedee chimice (tiefdruc si zinco)
Q002662	zincograf
Q002663	copist formare tipar plan
Q002664	desenator cromolitograf
Q002665	slefuitor-granulator
Q002666	gravor placi metalice
Q002667	gravor placi litografice
Q002668	fotogravor
Q002669	turnator valuri
Q002670	tipograf turnator la masinile de turnat text
Q002671	imprimator serigraf
Q002672	operator presa de transfer termic
Q002673	dactilo-rotaprint
Q002674	operator la masina electronica de gravat
Q002675	operator la masinile de fotoculegere (monofoto)
Q002676	operator tiparituri Braille
Q002677	heliografist
Q002678	operator xerox
Q002679	operator masini multiplicat
Q002680	operator la masina de gravat si decupat cu laser
Q002681	operator la masina de tampografiat
Q002682	tipograf flexograf
Q002683	strungar slefuitor tipografie
Q002684	electrician de intretinere in constructii
Q002685	instalator pentru sisteme fotovoltaice solare
Q002686	instalator pentru sisteme termice solare
Q002687	montator instalatii solare
Q002688	electrician constructor montator aparataj si cabluri de joasa tensiune
Q002689	electrician  constructor  montator  aparataj  si  cabluri  de  medie  siinalta tensiune
Q002690	electrician constructor instalator aparatura de masura si control
Q002691	electrician constructor pentru probe si incercari functionale
Q002692	electrician in constructii civile si industriale
Q002693	electrician echipamente electrice si energetice
Q002694	bobinator aparataj electric
Q002695	electromecanic reparator obiecte de uz casnic
Q002696	bobinator masini electrice rotative
Q002697	electrician   aparate   masura-control   si   automatizare   in   centraletermoelectrice si nuclearoelectrice
Q002698	electrician montare si reparatii aparataj electric de protectie, relee,automatizare
Q002699	bobinator condensatori pentru instalatii electrice
Q002700	electrician  verificari  si  masuratori  electrice  in  centrale  si  reteleelectrice
Q002701	bobinator transformatoare
Q002702	montator/ reglor/ depanator de aparataj electric
Q002703	montator, reglor  si  depanator  pentru  aparate  de  masura electrice sirelee
Q002704	montator, reglor si depanator de ascensoare
Q002705	electrician nave
Q002706	confectioner cablaje auto
Q002707	electromecanic masini si echipamente electrice
Q002708	electromecanic statie pompare apa-canal
Q002709	electrician exploatare centrale si statii electrice
Q002710	electrician exploatare retele electrice
Q002711	electrician montare si reparatii cabluri electrice subterane
Q002712	electrician montare si reparatii linii electrice aeriene
Q002713	electrician montare si reparatii echipament electric din centrale, statiisi posturi de transformare electrice
Q002714	electrician protectie relee, automatizari si masuratori electrice
Q002715	electrician de intretinere si reparatii
Q002716	electrician montator de instalatii automatizate
Q002717	electrician montator de instalatii electrice la mijloace de transport
Q002718	electrician pentru protectia catodica
Q002719	electrician rural
Q002720	electrician de mina
Q002721	electrician pentru utilizarea energiei electrice
Q002722	electrician operator
Q002723	electronist depanator utilaje calcul
Q002724	operator in verificarea, intretinerea si repararea instalatiilor specialede prevenire si stingere a incendiilor
Q002725	tehnician  pentru  sisteme  si  instalatii  de  semnalizare,  alarmare  sialertare in caz de incendiu
Q002726	tehnician   pentru   sisteme   si   instalatii   de   limitare   si   stingere   aincendiilor
Q002727	automatist
Q002728	electromecanic SCB (semnalizare, centralizare, blocare)
Q002729	electromecanic radio-radioficare
Q002730	electromecanic retele cabluri
Q002731	electromecanic retele linii
Q002732	electromecanic telegrafie, telefonie
Q002733	jonctor
Q002734	linior
Q002735	montator, reglor, testor aparatura de telecomunicatii si instalatii desemnalizare, centralizare si blocare
Q002736	electromecanic electroalimentare
Q002737	muncitor radioelectronist
Q002738	electromecanic automatizari si telecomunicatii
Q002739	electromecanic
Q002740	jonctor fibra optica
Q002741	depanator telefoane mobile inteligente / tablete
Q002742	macelar
Q002743	sterilizator
Q002744	operator abatorizare pasari
Q002745	afumator carne
Q002746	operator prelucrare initiala a pasarilor
Q002747	operator prelucrarea carcaselor de pasare
Q002748	operator sortare carcase de pasare
Q002749	operator transare carcase de pasare
Q002750	brutar
Q002751	cofetar
Q002752	patiser
Q002753	preparator de semifabricate si preparate culinare
Q002754	operator la fabricarea produselor congelate de patiserie si panificatie
Q002755	decorator produse cofetarie
Q002756	preparator conserve, legume si fructe
Q002757	uscator-deshidrator legume, fructe
Q002758	preparator castane, dovleac, porumb
Q002759	lucrator in procesarea de fructe de padure si ciuperci de padure
Q002760	degustator
Q002761	conditioner tutun pentru fabricarea tigaretelor
Q002762	vopsitor lemn
Q002763	pregatitor placi fibrolemnoase si hartie pentru filme
Q002764	uscator, aburitor material lemnos
Q002765	tamplar universal
Q002766	tamplar carosier
Q002767	tamplar manual/ artizanal
Q002768	marangoz-calafatuitor
Q002769	asamblator lazi
Q002770	curbator-montator butoaie din lemn
Q002771	tamplar manual la presare si incleiere
Q002772	corhanitor
Q002773	tamplar manual la imbinarea furnirelor
Q002774	marangoz cala - tachelagiu
Q002775	slefuitor, lustruitor
Q002776	pregatitor suprafete pentru lacuit
Q002777	gardinator
Q002778	confectioner-montator cercuri la butoaie
Q002779	decupator lamele din lemn pentru lazi
Q002780	preparator-dozator  adezive,  rasini,  lacuri  si  emailuri  in  industrialemnului
Q002781	tamplar restaurator
Q002782	restaurator sarpante si structuri din lemn
Q002783	tamplar binale
Q002784	strungar in lemn
Q002785	reglor masini de prelucrat lemn
Q002786	taietor de precizie in lemn
Q002787	confectioner parchete
Q002788	confectioner cutii chibrituri din furnir
Q002789	impregnator-uscator chibrituri
Q002790	confectioner gamalii chibrituri
Q002791	masinist la umplerea si inchiderea cutiilor de chibrituri
Q002792	pastator cutii chibrituri
Q002793	fasonator calapoade
Q002794	montator accesorii pentru calapoade
Q002795	finisor calapoade
Q002796	circularist la taiat lemne de foc
Q002797	curbator lemn
Q002798	gradator rechizite si articole tehnice din lemn
Q002799	tamplar mecanic la croit si dimensionat
Q002800	tamplar mecanic la frezat si gaurit
Q002801	tamplar mecanic la strunjit
Q002802	tamplar mecanic la slefuit
Q002803	confectioner mine pentru creioane
Q002804	innobilator scandurele pentru creioane
Q002805	fasonator creioane si tocuri
Q002806	finisor creioane si tocuri
Q002807	preparator paste chimice pentru chibrituri
Q002808	confectioner cutii de chibrituri din carton
Q002809	operator   la   masini   unelte   cu   comanda   numerica   in   prelucrarealemnului
Q002810	croitor
Q002811	ajutor maistru croitor
Q002812	ceaprazar - sepcar
Q002813	retusier confectii
Q002814	confectioner corsete
Q002815	confectioner reparator cravate
Q002816	broder manual
Q002817	stopeur
Q002818	remaieur ciorapi
Q002819	broder manual - mecanic
Q002820	broder la gherghef
Q002821	plapumar
Q002822	mestesugar argasitor
Q002823	mestesugar cenuseritor
Q002824	mestesugar finisor mineral
Q002825	mestesugar finisor vegetal
Q002826	confectioner articole din piele si inlocuitori
Q002827	scafandru
Q002828	scafandru sef grup
Q002829	scafandru sef utilaj
Q002830	operator barocamera
Q002831	scafandru salvator
Q002832	sef de scufundare
Q002833	tehnician de scufundare
Q002834	artificier de mina
Q002835	artificier la lucrari de suprafata
Q002836	pirotehnician cinematografie si teatru
Q002837	pirotehnician
Q002838	controlor calitate
Q002839	miner in subteran
Q002840	miner la suprafata
Q002841	miner in subteran pentru constructii
Q002842	masinist pentru utilaje specifice la extractie si executia tunelurilor
Q002843	semnalist-cuplator
Q002844	distilator la prepararea carbunelui
Q002845	operator la prepararea minereurilor
Q002846	operator la sfaramarea minereurilor
Q002847	spalator la prepararea carbunilor
Q002848	flotator la prepararea carbunilor
Q002849	separator la prepararea carbunilor
Q002850	operator mineralurg
Q002851	sondor la forajul mecanizat si reparatii sonde
Q002852	sondor la interventii de sonde
Q002853	sondor la punerea in productie
Q002854	cuptorar lianti
Q002855	fasonator produse din azbociment
Q002856	finisor produse din azbociment
Q002857	morar lianti
Q002858	preparator pasta de azbociment
Q002859	tratamentist produse din azbociment
Q002860	operator la impregnarea produselor hidroizolatoare
Q002861	masinist pentru prefabricate din beton si beton armat
Q002862	confectioner garnituri din azbest
Q002863	operator camera comanda pentru fabrica de ciment
Q002864	operator flux pentru fabrica de ciment
Q002865	cocsar
Q002866	furnalist
Q002867	otelar
Q002868	pregatitor materiale de sarje
Q002869	melanjorist
Q002870	operator oxizi de plumb
Q002871	dezbatator lingouri
Q002872	metalurgist pulberi din oxid de fier
Q002873	preparator la concentratele miniere
Q002874	topitor la concentrate miniere
Q002875	rafinator metale neferoase
Q002876	electrometalurgist
Q002877	turnator fonta
Q002878	granulator zgura
Q002879	epurator gaze
Q002880	masinist suflante
Q002881	pregatitor de sarje
Q002882	dozator la producerea aglomeratului
Q002883	aglomeratorist
Q002884	masinist exhaustor
Q002885	operator separare magnetica
Q002886	alimentator-incalzitor de materiale
Q002887	operator   la   cuptoare   si   instalatii   pentru   turnarea   si   laminareametalelor
Q002888	operator la instalatii de tratament termic cu procesare
Q002889	operator la pregatirea sarjelor pentru tratament termic
Q002890	finisor laminate si trefilate
Q002891	regulator tevi
Q002892	trefilator, tragator
Q002893	galvanizator
Q002894	metalizator prin cufundare in metal topit
Q002895	confectioner protectii si obiecte anticorozive
Q002896	emailator
Q002897	arzator email
Q002898	emailator insigne si decoratii
Q002899	emailator firme si decoruri
Q002900	emailator prin pudrare
Q002901	emailator prin pulverizare
Q002902	preparator email
Q002903	emailator prin imersiune
Q002904	acoperitor metale
Q002905	protejator conductori cabluri si condensatori statici de forta
Q002906	confectioner izolatii la conductori electrici
Q002907	confectioner mantale de plumb prin presare la cabluri
Q002908	confectioner toroane si cablaje la conductori electrici
Q002909	pregatitor seturi de cabluri electrice pentru autotrac si accesorii
Q002910	preparator electrolit si amestec depolarizator
Q002911	confectioner si legator depolarizator
Q002912	asamblator elemente si baterii galvanice
Q002913	confectioner de elemente galvanice
Q002914	confectioner celule de electroliza
Q002915	operator la masini de macinare fina (produse chimice)
Q002916	operator la masini de fragmentare (produse chimice)
Q002917	operator la masini de amestecare (produse chimice)
Q002918	operator la instalatii de ardere
Q002919	uscator in industria chimica
Q002920	extractorist in chimie
Q002921	fermentator in chimie
Q002922	concentrator-purificator in chimie
Q002923	extractorist uleiuri volatile naturale si colesterina
Q002924	distilator in industria chimica
Q002925	operator chimist la producerea diverselor produse anorganice
Q002926	operator chimist la fabricarea lacurilor, vopselelor si uleiurilor
Q002927	operator chimist la fabricarea colorantilor
Q002928	operator la obtinerea produselor din spume poliuretanice si latex
Q002929	operator  chimist  la  producerea  compusilor  anorganici  ai  azotului  siingrasamintelor azotoase
Q002930	operator chimist la chimizarea gazelor de rafinarie
Q002931	operator chimist la fabricarea altor produse organice
Q002932	operator chimist la chimizarea gazului de cocs
Q002933	preparator ferodouri
Q002934	finisor universal ferodouri
Q002935	operator la fabricarea glicerinei si acizilor grasi
Q002936	operator la fabricarea sapunurilor
Q002937	operator la fabricarea detergentilor
Q002938	operator chimist la produsele farmaceutice si chimice pure
Q002939	preparator prafuri de spalat si curatat
Q002940	preparator la prepararea produselor cosmetice si de parfumerie
Q002941	preparator ser vaccin
Q002942	conditioner finisor produse explozive
Q002943	confectioner produse pirotehnice
Q002944	nitrator
Q002945	preparator la produse explozive
Q002946	confectioner cartuse de vanatoare
Q002947	pregatitor, completator de echipamente tehnice si SDV-uri
Q002948	operator la producerea sodei si produselor clorosodice
Q002949	operator la fabricarea altor produse chimice
Q002950	operator la fabricarea filmelor fotografice
Q002951	confectioner de produse industriale din cauciuc
Q002952	vulcanizator de produse industriale din cauciuc
Q002953	finisor-reparator de produse industriale din cauciuc
Q002954	operator la prelucrarea cauciucului
Q002955	impregnator produse din cauciuc
Q002956	vulcanizator la autoclava
Q002957	operator fabricarea si prelucrarea polimerilor
Q002958	valtar calandru mase plastice
Q002959	presator mase plastice
Q002960	creator, modelier mase plastice
Q002961	operator la confectionarea discurilor fonografice
Q002962	operator  sudare  tevi  si  fitinguri  din  polietilena  de  inalta  densitatePEHD
Q002963	operator mase plastice
Q002964	operator masini de termoformatare
Q002965	cartonagist
Q002966	operator la masina de laminat
Q002967	prelucrator fire de matase din gogosi (filator)
Q002968	operator la masini de tricotat rectiliniu
Q002969	snuruitor Jaqard
Q002970	operator la masini de tricotat circular
Q002971	operator sculuitor
Q002972	operator canelator
Q002973	operator la masini de urzit
Q002974	operator incheietor fire
Q002975	operator navaditor, lipitor, innodator fire
Q002976	operator bobinator-dublator
Q002977	operator batirator fire
Q002978	paslitor
Q002979	confectioner polizoare din pasla
Q002980	rihtuitor confectii
Q002981	operator gazator textile
Q002982	operator descleietor textile
Q002983	operator degamator textile
Q002984	operator spalator textile
Q002985	operator albitor textile
Q002986	operator fierbator textile
Q002987	operator mercerizator textile
Q002988	operator vopsitor textile
Q002989	operator imprimeur textile
Q002990	confectioner sabloane si cilindri de imprimat
Q002991	operator apretor textile
Q002992	operator calandor-govrator textile
Q002993	operator impregnator textile
Q002994	operator decator
Q002995	operator presator tesaturi textile (storcator textile)
Q002996	operator fixator textile
Q002997	operator piuar
Q002998	operator scamosetor
Q002999	operator tunsator textile
Q003000	operator curatitor chimic
Q003001	operator metrar-volator-dublator textile
Q003002	operator taietor textile
Q003003	operator uscator textile
Q003004	operator ingreunator matase naturala
Q003005	naphtolator la imprimerie
Q003006	vaporizator la imprimerie
Q003007	confectioner sabloane la imprimerie
Q003008	presator axe la cilindrul de imprimat
Q003009	operator universal - spalator textile si curatitor chimic
Q003010	operator cenuseritor
Q003011	operator  la  confectionarea  industriala  a  articolelor  din  cauciuc  sitextile cauciucate
Q003012	croitor-stantator piese incaltaminte
Q003013	pregatitor piese incaltaminte
Q003014	cusator piese din piele si inlocuitori
Q003015	finisor incaltaminte
Q003016	operator la confectionarea industriala a palariilor
Q003017	operator   la   confectionarea   industriala   a   articolelor   de   sport   siprotectie, din piele si inlocuitori
Q003018	operator textile netesute
Q003019	operator  la  prepararea  conservelor  din  carne,  peste  si  in  amesteclegume si peste
Q003020	tripier
Q003021	preparator peste, raci, broaste in cherhanale si oficii
Q003022	preparator faina din peste
Q003023	topitor grasimi comestibile si de uz industrial
Q003024	colector si sortator par
Q003025	preparator ulei de copite
Q003026	colector si preparator faina, sange, carne, oase
Q003027	curatitor piei
Q003028	valorificator glande
Q003029	morar
Q003030	operator la fabricarea nutreturilor combinate
Q003031	preparator boia de ardei
Q003032	preparator mustar
Q003033	preparator extracte, arome si esente
Q003034	decorticator crupe
Q003035	operator la prepararea produselor zaharoase
Q003036	operator la fabricarea produselor fainoase
Q003037	operator la fabricarea biscuitilor
Q003038	preparator napolitane
Q003039	operator la fabricarea uleiurilor vegetale
Q003040	operator la fabricarea conservelor din legume sau fructe
Q003041	preparator de produse apicole
Q003042	preparator surogate cafea
Q003043	operator la conditionarea si prelucrarea plantelor medicinale
Q003044	preparator halva
Q003045	operator la prepararea bauturilor alcoolice si racoritoare
Q003046	operator la fabricarea berii
Q003047	operator la fabricarea maltului
Q003048	operator la fabricarea spirtului si drojdiei de panificatie
Q003049	vinificator-pivnicer
Q003050	fermentator otet
Q003051	operator la fabricarea amidonului si dextrinei
Q003052	preparator coniac
Q003053	preparator vermut
Q003054	preparator sampanie
Q003055	pregatitor lemn, stuf, paie
Q003056	preparator pasta
Q003057	albitor pasta hartie
Q003058	confectioner tambur filigranare
Q003059	masinist la deshidratare pasta hartie
Q003060	finisor hartie, carton, mucava
Q003061	confectioner rondele din pluta
Q003062	confectioner bastoane din pluta
Q003063	confectioner colaci si centuri de salvare
Q003064	masinist la masina de taiat sraifuri si dopuri din pluta
Q003065	masinist la masina de zdrobit si macinat pluta
Q003066	confectioner placi izolatoare
Q003067	aburitor pluta
Q003068	pregatitor lemn aschietor
Q003069	pregatitor aschii
Q003070	formator finisor placi
Q003071	tocatorist-defibratorist
Q003072	filtrator-deshidratorist
Q003073	tratamentist PFL
Q003074	formator PFL
Q003075	impregnator la innobilare PFL
Q003076	fasonator-sortator filme
Q003077	formator la innobilare PFL
Q003078	finisor la innobilare PFL
Q003079	pregatitor PFL si hartie pentru filme
Q003080	taietor la ferastrau panglica
Q003081	fasonator cherestea
Q003082	desenator-insemnator cherestea
Q003083	decupator furnire
Q003084	derulatorist
Q003085	fasonator-uscator furnire
Q003086	frezor-imbinator furnire tehnice
Q003087	formator slefuitor produse stratificate
Q003088	preparator PPF
Q003089	miezuitor panele si placi celulare
Q003090	operator la recoltarea si toaletarea arborilor forestieri
Q003091	cuptorar recoacere sticla
Q003092	confectioner termosuri
Q003093	argintar produse din sticla
Q003094	operator la instalatii automate pentru prepararea amestecului
Q003095	operator la instalatii automate pentru prelucrarea topiturii de sticla
Q003096	prelucrator fire si tesaturi din fire de sticla
Q003097	operator la instalatii de tras si laminat geam
Q003098	turnator geam
Q003099	cuptorar ceramica fina si decor
Q003100	arzator produse ceramice
Q003101	operator la fabricarea produselor abrazive
Q003102	operator la fabricarea produselor din carbune
Q003103	operator abrazive pe suporti
Q003104	finisor produse abrazive
Q003105	granulator/ sortator abrazive
Q003106	cuptorar produse abrazive
Q003107	preparator-presator abrazive
Q003108	prelucrator produse ceramice prin injectare
Q003109	armator de izolatori electrici (prelucrator produse electrotehnice)
Q003110	masinist la instalatii pentru incalzit tren
Q003111	masinist la masini de ambalat
Q003112	operator la masina de etichetat
Q003113	operator masini insacuire pentru fabrica de ciment
Q003114	operator masini paletizate si infoliere pentru fabrica de ciment
Q003115	operator umplere recipiente GPL
Q003116	imbuteliator fluide sub presiune
Q003117	operator la roboti industriali
Q003118	operator   instalatie   de   sortare   si   reciclare   deseuri   menajere   siasimilabile
Q003119	operator generatoare terestre sonice si cu agent activ de insamantare
Q003120	operator punct de lansare
Q003121	pompagiu
Q003122	compresorist
