C000001_en_000	Armed forces occupations
C003180_en_002	beauty and aroma store manager
C003180_en_003	beauty shop manager
C003180_en_004	beauty store manager
C003180_en_005	cosmetics and perfume store manager
C003180_en_006	cosmetics and toilet articles shop manager
C003180_en_007	cosmetics and toilet articles store manager
C003180_en_008	cosmetics and toiletries shop manager
C003180_en_009	cosmetics and toiletries store manager
C003180_en_010	cosmetics shop manager
C003180_en_011	cosmetics store manager
C003180_en_012	make-up and cosmetics shop manager
C003180_en_013	make-up and cosmetics store manager
C003180_en_014	perfume shop manager
C003180_en_015	perfume store manager
C003181_en_000	astronaut
C003181_en_001	commander astronaut
C003181_en_002	cosmonaut
C003181_en_003	flight engineer
C003181_en_004	pilot astronaut
C003181_en_005	pilot cosmonaut
C003181_en_006	science officer
C003181_en_007	scientific cosmonaut
C003181_en_008	shuttle commander
C003181_en_009	shuttle pilot
C003181_en_010	space shuttle crew member
C003181_en_011	spacecraft crew member
C003181_en_012	spacecraft pilot
C003182_en_000	dry press operator
C003182_en_001	brick & tile dry press operator
C003182_en_002	brick and tile dry press operator
C003182_en_003	brick presser
C003182_en_004	dry press tender
C003182_en_005	dry press worker
C003182_en_006	dry-press operator
C003182_en_007	presser
C003183_en_000	leather goods product developer
C003183_en_001	leather product designer & developer
C003183_en_002	leather product designer and developer
C003183_en_003	leather product development engineer
C003183_en_004	leather product engineer
C003183_en_005	leather product technologist
C003183_en_006	leather technologist
C003183_en_007	leatherware engineer
C003183_en_008	leatherware product developer
C003183_en_009	product leather goods developer
C003184_en_000	stagehand
C003184_en_001	assistant stage technician
C003184_en_002	assistant technician
C003184_en_003	assistant theater technician
C003184_en_004	assistant theatre technician
C003184_en_005	loader & stage hand
C003184_en_006	loader & stagehand
C003184_en_007	loader and stage hand
C003184_en_008	loader and stagehand
C003184_en_009	runner
C003184_en_010	stage assistant
C003184_en_011	stage hand
C003184_en_012	stage hand & loader
C003184_en_013	stage hand and loader
C003184_en_014	stage-hand
C003184_en_015	stagehand & loader
C003184_en_016	stagehand and loader
C003184_en_017	theater assistant
C003184_en_018	theatre assistant
C003185_en_000	companion
C003185_en_001	caregiver
C003185_en_002	live in companion
C003185_en_003	live-in companion
C003185_en_004	male servant
C003185_en_005	servant
C003186_en_000	digital media designer
C003186_en_001	digital media designers
C003186_en_002	digital media developer
C003186_en_003	digital media engineer
C003186_en_004	digital multimedia designer
C003186_en_005	interactive media designer
C003186_en_006	multimedia developer
C003186_en_007	new media designer
C003187_en_000	perfume production machine operator
C003187_en_001	fragrance factory worker
C003187_en_002	fragrance plant worker
C003187_en_003	fragrance production machine operative
C003187_en_004	fragrance production machine tender
C003187_en_005	fragrance production machine worker
C003187_en_006	fragrance production worker
C003187_en_007	perfume factory worker
C003187_en_008	perfume plant worker
C003187_en_009	perfume production machine operative
C003187_en_010	perfume production machine tender
C003187_en_011	perfume production machine worker
C003187_en_012	perfume production worker
C003188_en_000	digital artist
C003188_en_001	3D digital artist
C003188_en_002	3D digital matte painter
C003188_en_003	computer artist
C003188_en_004	computer-generated imagery artist
C003188_en_005	digital compositor
C003188_en_006	digital designer and animator
C003188_en_007	digital environment artist
C003188_en_008	digital games artist
C003188_en_009	digital matte artist
C003188_en_010	digital matte painter
C003188_en_011	digital sculptor
C003188_en_012	digital scupltress
C003188_en_013	special effects digital artist
C003189_en_000	personal stylist
C003189_en_001	corporate image consultant
C003189_en_002	fashion advisor
C003189_en_003	fashion colour analyst
C003189_en_004	fashion consultant
C003189_en_005	image consultant
C003189_en_006	personal style advisor
C003189_en_007	personal style coach
C003189_en_008	personal stylist professional
C003189_en_009	personal wardrobe consultant
C003189_en_010	wardrobe consultant
C003190_en_000	waiter/waitress
C003190_en_001	chef de rang
C003190_en_002	event server
C003190_en_003	table waiter
C003190_en_004	wait staff
C003190_en_005	waiter
C003190_en_006	waiting staff
C003190_en_007	waitress
C003191_en_000	restaurant manager
C003191_en_001	F & B manager
C003191_en_002	bar manager
C003191_en_003	beverage supervisor
C003191_en_004	cafe manager
C003191_en_005	catering manager
C003191_en_006	food & beverage supervisor
C003191_en_007	food and beverages manager
C003191_en_008	food and drinks manager
C003191_en_009	restaurant food and beverage manager
C003192_en_000	governor
C003192_en_001	prefect
C003192_en_002	provincial governor
C003192_en_003	regional governor
C003192_en_004	state governor
C003192_en_005	viceroy
C003193_en_000	wood router operator
C003193_en_001	CNC wood router operative
C003193_en_002	CNC wood router operator
C003193_en_003	CNC wood router setter
C003193_en_004	CNC wood routing machine operative
C003193_en_005	CNC wood routing machine operator
C003193_en_006	CNC wood routing machine setter
C003193_en_007	CNC wood routing machine tender
C003193_en_008	wood carving machine operative
C003193_en_009	wood carving machine operator
C003193_en_010	wood carving machine setter
C003193_en_011	wood carving machine specialist
C003193_en_012	wood carving machine technician
C003193_en_013	wood carving machine tender
C003193_en_014	wood router
C003193_en_015	wood router specialist
C003193_en_016	wood router technician
C003193_en_017	wood routing machine operative
C003193_en_018	wood routing machine operator
C003193_en_019	wood routing machine setter
C003193_en_020	wood routing machine tender
C003194_en_000	digital games designer
C003194_en_001	computer games designer
C003194_en_002	digital game designer
C003194_en_003	digital games designers
C003194_en_004	video games designer
C003194_en_005	virtual games designer
C003195_en_000	import export specialist in electronic and telecommunications equipment
C003195_en_001	assistant export specialist in electronic and telecommunications equipment
C003195_en_002	assistant import export specialist in electronic and telecommunications equipment
C003195_en_003	assistant import specialist in electronic and telecommunications equipment
C003195_en_004	customs compliance specialist in electronic and telecommunications equipment
C003195_en_005	graduate export specialist in electronic and telecommunications equipment
C003195_en_006	graduate import export specialist in electronic and telecommunications equipment
C003195_en_007	graduate import specialist in electronic and telecommunications equipment
C003195_en_008	international trade compliance specialist in electronic and telecommunications equipment
C003195_en_009	senior export specialist in electronic and telecommunications equipment
C003195_en_010	senior import export specialist in electronic and telecommunications equipment
C003195_en_011	senior import specialist in electronic and telecommunications equipment
C003195_en_012	trainee export specialist in electronic and telecommunications equipment
C003195_en_013	trainee import export specialist in electronic and telecommunications equipment
C003195_en_014	trainee import specialist in electronic and telecommunications equipment
C003196_en_000	fight director
C003196_en_001	fight arranger
C003196_en_002	fight choreographer
C003196_en_003	fight coach
C003196_en_004	fight coordinator
C003196_en_005	historical combat instructor
C003196_en_006	martial arts fight director
C003196_en_007	stage combat coordinator
C003196_en_008	stage combat instructor
C003196_en_009	stage fight coordinator
C003196_en_010	stage fight instructor
C003196_en_011	sword fight director
C003197_en_000	rental service representative in video tapes and disks
C003197_en_001	rental advisor in video tapes and disks
C003197_en_002	rental sales assistant in video tapes and disks
C003197_en_003	rental sales desk agent in video tapes and disks
C003197_en_004	rental sales desk clerk in video tapes and disks
C003197_en_005	rental sales desk supervisor in video tapes and disks
C003197_en_006	rental sales manager in video tapes and disks
C003197_en_007	rental sales supervisor in video tapes and disks
C003197_en_008	rental sales team leader in video tapes and disks
C003197_en_009	rental sales worker in video tapes and disks
C003197_en_010	rental service assistant in video tapes and disks
C003197_en_011	rental service desk agent in video tapes and disks
C003197_en_012	rental service desk clerk in video tapes and disks
C003197_en_013	rental service desk supervisor in video tapes and disks
C003197_en_014	rental service manager in video tapes and disks
C003197_en_015	rental service supervisor in video tapes and disks
C003197_en_016	rental service team leader in video tapes and disks
C003197_en_017	rental service worker in video tapes and disks
C003197_en_018	rental specialist in video tapes and disks
C003198_en_000	substance misuse worker
C003198_en_001	addiction social worker
C003198_en_002	alcohol outreach worker
C003198_en_003	drug abuse outreach worker
C003198_en_004	drug and alcohol social worker
C003198_en_005	drug and alcohol worker
C003198_en_006	mentor (drugs and alcahol)
C003198_en_007	mentor (drugs and alcohol)
C003198_en_008	social worker (substance misuse)
C003198_en_009	substance abuse social worker
C003198_en_010	substance abuse worker
C003198_en_011	substance mis-use counsellor
C003198_en_012	substance mis-use mentor
C003198_en_013	substance misuse adviser
C003198_en_014	substance misuse outreach worker
C003198_en_015	substanse abuse social worker
C003199_en_000	mine health and safety engineer
C003199_en_001	industrial health and safety engineer
C003199_en_002	mine health and safety engineers
C003199_en_003	mine safety engineer
C003199_en_004	mining health and safety engineer
C003200_en_000	social services policy officer
C003200_en_001	policy officer at social services
C003200_en_002	policy officer, social services
C003200_en_003	social policy advisor
C003200_en_004	social policy analyst
C003200_en_005	social policy development officer
C003200_en_006	social policy officer
C003200_en_007	social policy researcher
C003200_en_008	social policy specialist
C003200_en_009	social services policy advisor
C003200_en_010	social services policy researcher
C003201_en_000	followspot operator
C003201_en_001	followspot lighting operator
C003201_en_002	spotlight operator
C003202_en_000	production engineer
C003202_en_001	agricultural production engineer
C003202_en_002	planning and production support manager
C003202_en_003	production engineering adviser
C003202_en_004	production engineering consultant
C003202_en_005	production engineering expert
C003202_en_006	production engineering specialist
C003202_en_007	productions engineer
C003203_en_000	funeral attendant
C003203_en_001	attendant for funeral organisation
C003203_en_002	funeral home assistant
C003203_en_003	mortician's helper
C003203_en_004	pallbearer
C003204_en_000	swaging machine operator
C003204_en_001	forging machine operative
C003204_en_002	forging machine setter
C003204_en_003	forging machine tender
C003204_en_004	swaging machine operative
C003204_en_005	swaging machine setter
C003204_en_006	swaging machine tender
C003205_en_000	import export manager in hides, skins and leather products
C003205_en_001	assistant export manager in hides, skins and leather products
C003205_en_002	assistant import export manager in hides, skins and leather products
C003205_en_003	assistant import manager in hides, skins and leather products
C003205_en_004	customs compliance manager in hides, skins and leather products
C003205_en_005	graduate export manager in hides, skins and leather products
C003205_en_006	graduate import export manager in hides, skins and leather products
C003205_en_007	graduate import manager in hides, skins and leather products
C003205_en_008	international trade compliance manager in hides, skins and leather products
C003205_en_009	international trade manager in hides, skins and leather products
C003205_en_010	senior export manager in hides, skins and leather products
C003205_en_011	senior import export manager in hides, skins and leather products
C003205_en_012	senior import manager in hides, skins and leather products
C003205_en_013	trainee export manager in hides, skins and leather products
C003205_en_014	trainee import export manager in hides, skins and leather products
C003205_en_015	trainee import manager in hides, skins and leather products
C003206_en_000	inventory coordinator
C003206_en_001	inventory administrator
C003206_en_002	inventory associate
C003206_en_003	inventory control supervisor
C003206_en_004	inventory controller
C003206_en_005	inventory specialist
C003206_en_006	inventory supervisor
C003206_en_007	inventory taker
C003206_en_008	stock coordinator
C003206_en_009	stockroom coordinator
C003206_en_010	store coordinator
C003206_en_011	warehouse coordinator
C003206_en_012	warehouse specialist
C003207_en_000	civil engineer
C003207_en_001	civil engineering adviser
C003207_en_002	civil engineering consultant
C003207_en_003	civil engineering expert
C003207_en_004	civil engineering researcher
C003207_en_005	civil engineering specialist
C003207_en_006	director of infrastructure projects
C003207_en_007	harbour civil engineer
C003207_en_008	infrastructure project manager
C003207_en_009	investments civil enginee
C003207_en_010	quality assurance civil engineer
C003208_en_000	aerospace engineer
C003208_en_001	aeronautical engineer
C003208_en_002	aerospace design engineer
C003208_en_003	aerospace development engineer
C003208_en_004	aerospace engineering adviser
C003208_en_005	aerospace engineering consultant
C003208_en_006	aerospace engineering expert
C003208_en_007	aerospace engineering specialist
C003208_en_008	aerospace engineers
C003208_en_009	aerospace project engineer
C003208_en_010	aerospace test engineer
C003208_en_011	aerospace weapons engineer
C003208_en_012	aerostructure engineer
C003208_en_013	aerostructures engineer
C003208_en_014	astronautical engineer
C003208_en_015	avionics engineer
C003208_en_016	missile design expert
C003208_en_017	missile design specialist
C003208_en_018	missile designer
C003208_en_019	spacecraft engineer
C003209_en_000	furniture assembler
C003209_en_001	furniture assembly operative
C003209_en_002	furniture assembly technician
C003209_en_003	furniture assembly worker
C003209_en_004	furniture hand assembler
C003209_en_005	wooden furniture assembler
C003210_en_000	baggage flow supervisor
C003210_en_001	baggage flow coordinator
C003210_en_002	baggage flow manager
C003210_en_003	baggage operations coordinator
C003210_en_004	baggage operations manager
C003210_en_005	baggage operations supervisor
C003210_en_006	luggage flow coordinator
C003210_en_007	luggage flow manager
C003210_en_008	luggage flow supervisor
C003210_en_009	luggage operations coordinator
C003210_en_010	luggage operations manager
C003210_en_011	luggage operations supervisor
C003211_en_000	electronics drafter
C003211_en_001	draughter in electronic equipment
C003211_en_002	draughter in electronics
C003211_en_003	draughter of electronics
C003211_en_004	electronic drafter
C003211_en_005	electronic draftsperson
C003211_en_006	electronic draughter
C003211_en_007	electronic draughtsperson
C003211_en_008	electronics design drafter
C003211_en_009	electronics design draughter
C003211_en_010	electronics drafting adviser
C003211_en_011	electronics drafting consultant
C003211_en_012	electronics drafting expert
C003211_en_013	electronics drafting specialist
C003211_en_014	electronics draftsperson
C003211_en_015	electronics draughter
C003211_en_016	electronics draughtsman
C003211_en_017	electronics draughtsperson
C003211_en_018	electronics draughtswoman
C003211_en_019	electronics engineering drafter
C003211_en_020	electronics engineering draughter
C003212_en_000	telecommunications engineering technician
C003212_en_001	communication administrator
C003212_en_002	communications administrator
C003212_en_003	telecom administrator
C003212_en_004	telecommunication administrator
C003212_en_005	telecommunications administrator
C003212_en_006	telecommunications administrators
C003212_en_007	telecoms administrator
C003213_en_000	aquaculture harvesting technician
C003213_en_001	aquaculture harvest technician
C003213_en_002	aquaculture harvesting inspector
C003213_en_003	aquatic harvester
C003213_en_004	aquatic harvester operator
C003213_en_005	fish farm harvesting technician
C003213_en_006	fisheries harvesting technician
C003213_en_007	harvest technician
C003213_en_008	harvesting technician
C003213_en_009	marine harvesting inspector
C003213_en_010	marine harvesting manager
C003213_en_011	technician in aquaculture harvesting
C003213_en_012	water harvesting inspector
C003213_en_013	water harvesting operative
C003214_en_000	drugstore manager
C003214_en_001	chemist's shop manager
C003214_en_002	drugstore counter manager
C003214_en_003	drugstore department manager
C003214_en_004	healthcare shop manager
C003215_en_000	cotton gin operator
C003215_en_001	cotton gin machine operator
C003215_en_002	cotton gin machine tender
C003215_en_003	cotton gin machinist
C003216_en_000	curriculum administrator
C003216_en_001	curriculum coordinator
C003216_en_002	curriculum developer
C003216_en_003	curriculum development consultant
C003216_en_004	curriculum director
C003216_en_005	curriculum enhancement administrator
C003216_en_006	curriculum management administrator
C003216_en_007	curriculum manager
C003216_en_008	curriculum specialist
C003216_en_009	curriculum support administrator
C003216_en_010	education administrator
C003216_en_011	education consultant
C003216_en_012	education coordinator
C003216_en_013	education manager
C003216_en_014	education officer
C003216_en_015	teaching aids specialist
C003217_en_000	land surveyor
C003217_en_001	geomatics surveyor
C003217_en_002	surveying engineer
C003217_en_003	surveyor
C003217_en_004	surveyors
C003218_en_000	computer shop manager
C003218_en_001	ICT shop manager
C003218_en_002	ICT store manager
C003218_en_003	ICT superstore manager
C003218_en_004	IT shop manager
C003218_en_005	IT store manager
C003218_en_006	IT superstore manager
C003218_en_007	computer and accessories shop manager
C003218_en_008	computer and accessories store manager
C003218_en_009	computer and peripheral units shop manager
C003218_en_010	computer and peripheral units store manager
C003218_en_011	computer hardware shop manager
C003218_en_012	computer hardware store manager
C003218_en_013	computer store manager
C003218_en_014	computer superstore manager
C003218_en_015	consumer electronics shop manager
C003218_en_016	consumer electronics store manager
C003219_en_000	human resources assistant
C003219_en_001	human resources administrative assistant
C003219_en_002	human resources associate
C003219_en_003	human resources executive assistant
C003219_en_004	human resources secretary
C003220_en_000	mud logger
C003220_en_001	logging geologist
C003220_en_002	mud logging technican
C003220_en_003	mudlogger
C003220_en_004	surface logger
C003220_en_005	surface logging specialist
C003220_en_006	surface logging technician
C003221_en_000	parliamentary assistant
C003221_en_001	AM's assistant
C003221_en_002	AM's parliamentary assistant
C003221_en_003	MEP's assistant
C003221_en_004	MLA's assistant
C003221_en_005	MLA's parliamentary assistant
C003221_en_006	MP's PA
C003221_en_007	MP's assistant
C003221_en_008	MP's parliamentary assistant
C003221_en_009	MP's personal assistant
C003221_en_010	MSP's assistant
C003221_en_011	MSP's parliamentary assistant
C003221_en_012	constituency assistant
C003221_en_013	executive officer
C003221_en_014	parliamentary intern
C003221_en_015	political assistant
C003221_en_016	politician's assistant
C003222_en_000	import export specialist in tobacco products
C003222_en_001	assistant export specialist in tobacco products
C003222_en_002	assistant import export specialist in tobacco products
C003222_en_003	assistant import specialist in tobacco products
C003222_en_004	customs compliance specialist in tobacco products
C003222_en_005	graduate export specialist in tobacco products
C003222_en_006	graduate import export specialist in tobacco products
C003222_en_007	graduate import specialist in tobacco products
C003222_en_008	international trade compliance specialist in tobacco products
C003222_en_009	senior export specialist in tobacco products
C003222_en_010	senior import export specialist in tobacco products
C003222_en_011	senior import specialist in tobacco products
C003222_en_012	trainee export specialist in tobacco products
C003222_en_013	trainee import export specialist in tobacco products
C003222_en_014	trainee import specialist in tobacco products
C003223_en_000	promotion manager
C003223_en_001	advertising and promotion manager
C003223_en_002	marketing and promotion manager
C003223_en_003	promotion coordinator
C003223_en_004	promotion director
C003223_en_005	promotions coordinator
C003223_en_006	promotions director
C003223_en_007	promotions manager
C003223_en_008	sales promotion manager
C003224_en_000	business coach
C003224_en_001	business development coach
C003224_en_002	business leadership coach
C003224_en_003	coach in business development
C003224_en_004	corporate coach
C003224_en_005	executive coach
C003224_en_006	leadership coach
C003224_en_007	personal development coach
C003224_en_008	practitioner of business coaching
C003224_en_009	professional development coach
C003225_en_000	import export manager in pharmaceutical goods
C003225_en_001	assistant export manager in pharmaceutical goods
C003225_en_002	assistant import export manager in pharmaceutical goods
C003225_en_003	assistant import manager in pharmaceutical goods
C003225_en_004	customs compliance manager in pharmaceutical goods
C003225_en_005	graduate export manager in pharmaceutical goods
C003225_en_006	graduate import export manager in pharmaceutical goods
C003225_en_007	graduate import manager in pharmaceutical goods
C003225_en_008	international trade compliance manager in pharmaceutical goods
C003225_en_009	international trade manager in pharmaceutical goods
C003225_en_010	senior export manager in pharmaceutical goods
C003225_en_011	senior import export manager in pharmaceutical goods
C003225_en_012	senior import manager in pharmaceutical goods
C003225_en_013	trainee export manager in pharmaceutical goods
C003225_en_014	trainee import export manager in pharmaceutical goods
C003225_en_015	trainee import manager in pharmaceutical goods
C003226_en_000	relationship banking manager
C003226_en_001	client manager
C003226_en_002	commercial banking relationship manager
C003226_en_003	financial products relationship manager
C003226_en_004	personal financial advisor
C003226_en_005	private banker
C003226_en_006	private banking relationship manager
C003226_en_007	relations banker
C003226_en_008	relationship banker
C003226_en_009	relationship manager
C003227_en_000	bankruptcy trustee
C003227_en_001	bankruptcy analyst
C003227_en_002	insolvency practitioner
C003227_en_003	insolvency practitioners
C003227_en_004	insolvency trustee
C003227_en_005	trustee in bankruptcy
C003227_en_006	trustees in bankruptcy
C003228_en_000	rail layer
C003228_en_001	layer in railway sites
C003228_en_002	light rail layer
C003228_en_003	light railtrack layer
C003228_en_004	plate layer
C003228_en_005	rail machine operator
C003228_en_006	rail track layer
C003228_en_007	railtrack layer
C003228_en_008	railway line layer
C003228_en_009	track layer
C003228_en_010	track machine operator
C003228_en_011	tramway layer
C003229_en_000	wastewater treatment technician
C003229_en_001	sewage plant technician
C003229_en_002	sewage treatment plant technician
C003229_en_003	waste water technician
C003229_en_004	wastewater quality technician
C003229_en_005	wastewater quality tester
C003229_en_006	wastewater safety technician
C003229_en_007	wastewater safety tester
C003229_en_008	wastewater treatment monitoring technician
C003229_en_009	wastewater treatment plant operator
C003229_en_010	wastewater treatment plant technician
C003229_en_011	wastewater treatment plant worker
C003229_en_012	wastewater treatment quality technician
C003229_en_013	wastewater treatment sampling monitoring technician
C003229_en_014	water plant equipment maintenance technician
C003229_en_015	water plant maintenance technician
C003229_en_016	water plant measurement technician
C003229_en_017	water plant monitoring technician
C003229_en_018	water plant quality technician
C003229_en_019	water plant repair technician
C003229_en_020	water treatment system technician
C003230_en_000	avionics technician
C003230_en_001	aircraft electrical mechanic
C003230_en_002	aircraft electro-mechanic technician
C003230_en_003	aircraft electromechanic technician
C003230_en_004	aircraft electronics mechanic
C003230_en_005	aircraft instrument mechanic
C003230_en_006	aircraft instrument technician
C003230_en_007	avionics diagnostic technician
C003230_en_008	avionics inspection technician
C003230_en_009	avionics installation technician
C003230_en_010	avionics maintenance technician
C003230_en_011	avionics mechanic
C003230_en_012	avionics repair technician
C003230_en_013	avionics systems technician
C003230_en_014	avionics test technician
C003230_en_015	line technician
C003231_en_000	footwear finishing and packing operator
C003232_en_000	weights and measures inspector
C003232_en_001	inspector and tester of weights and measures
C003232_en_002	inspector of weights and measures
C003232_en_003	regulatory services officer
C003232_en_004	tester of weights and measures
C003232_en_005	trading standards manager
C003232_en_006	trading standards officer
C003232_en_007	trading standards supervisor
C003232_en_008	trading standards team leader
C003232_en_009	weights and measures inspector and tester
C003232_en_010	weights and measures tester
C003233_en_000	floor and wall coverings specialised seller
C003233_en_001	carpet and rug salesperson
C003233_en_002	carpet and rug specialised seller
C003233_en_003	carpet salesperson
C003233_en_004	carpet specialised seller
C003233_en_005	carpet superstore salesperson
C003233_en_006	carpet superstore specialised seller
C003233_en_007	floor and wall coverings salesperson
C003233_en_008	floor and wall coverings specialized seller
C003233_en_009	interior decoration salesperson
C003233_en_010	interior decoration specialised seller
C003233_en_011	interior fitting salesperson
C003233_en_012	interior fitting specialised seller
C003233_en_013	wallpaper and accessories salesperson
C003233_en_014	wallpaper and accessories specialised seller
C003233_en_015	wallpaper salesperson
C003233_en_016	wallpaper specialised seller
C003234_en_000	printed circuit board assembler
C003234_en_001	PCB assembler
C003234_en_002	PCB assembly operative
C003234_en_003	PCB fabricator
C003234_en_004	THT operator
C003234_en_005	assembler of printed circuit boards
C003234_en_006	printed circuit board fabricator
C003234_en_007	through-hole technology assembler
C003234_en_008	through-hole technology assembly operative
C003234_en_009	through-hole technology assembly operator
C003235_en_000	localiser
C003235_en_001	localisation games tester
C003235_en_002	localisation project manager
C003235_en_003	localisation tester
C003235_en_004	localisation translator
C003235_en_005	localiser QA tester
C003235_en_006	localiser quality assurance tester
C003235_en_007	localizer
C003236_en_000	vessel engine inspector
C003236_en_001	LNG engine inspector
C003236_en_002	boat engine assembler
C003236_en_003	boat engine builder
C003236_en_004	boat engine inspector
C003236_en_005	dual fuel engine inspector
C003236_en_006	electric motor inspector
C003236_en_007	four-stroke diesel engine inspector
C003236_en_008	gas turbine engine inspector
C003236_en_009	liquid natural gas engine inspector
C003236_en_010	marine engine builder
C003236_en_011	marine engine inspector
C003236_en_012	marine engine tester
C003236_en_013	marine steam engine inspector
C003236_en_014	nuclear reactor inspector
C003236_en_015	outboard motor inspector
C003236_en_016	two-stroke diesel engineer inspector
C003237_en_000	wax bleacher
C003237_en_001	bees-wax bleacher
C003237_en_002	beeswax bleacher
C003237_en_003	candle production operative
C003237_en_004	candle production operator
C003237_en_005	candle production process operative
C003237_en_006	candle production process worker
C003237_en_007	candle production worker
C003237_en_008	candle wax bleacher
C003237_en_009	candlewax bleacher
C003237_en_010	wax bleacher (chemical)
C003237_en_011	wax pumper
C003238_en_000	category manager
C003238_en_001	FMCG category manager
C003238_en_002	assistant category manager
C003238_en_003	category development manager
C003238_en_004	g.m. category manager
C003238_en_005	general merchandise category manager
C003238_en_006	graduate category manager
C003238_en_007	indirect category manager
C003238_en_008	merchandising category specialist
C003238_en_009	on-line category manager
C003238_en_010	planning and inventory control manager
C003238_en_011	pricing and marketing manager
C003238_en_012	product category manager
C003238_en_013	product category specialist
C003238_en_014	senior category manager
C003238_en_015	vendor management manager
C003239_en_000	mathematics lecturer
C003239_en_001	higher education mathematics teacher
C003239_en_002	instructor in mathematics
C003239_en_003	lector in math
C003239_en_004	lector in mathematics
C003239_en_005	lector in maths
C003239_en_006	lecturer in math
C003239_en_007	lecturer in mathematics
C003239_en_008	lecturer in maths
C003239_en_009	math lector
C003239_en_010	mathematics docent
C003239_en_011	mathematics instructor
C003239_en_012	mathematics lector
C003239_en_013	mathematics professor
C003239_en_014	mathematics teacher
C003239_en_015	maths lector
C003239_en_016	maths professor
C003239_en_017	professor of mathematics
C003239_en_018	professor of maths
C003239_en_019	university lecturer in mathematics
C003239_en_020	university mathematics lecturer
C003239_en_021	university maths teacher
C003240_en_000	chemical manufacturing quality technician
C003240_en_001	QC technician chemical manufacturing
C003240_en_002	chemical manufacturing quality assurance officer
C003240_en_003	chemical manufacturing quality inspector
C003240_en_004	chemical manufacturing quality tester
C003240_en_005	chemical production quality technician
C003240_en_006	chemicals quality inspector
C003240_en_007	chemistry quality control technician
C003240_en_008	manufacturing quality technician
C003240_en_009	manufacturing quality technician chemicals
C003240_en_010	qc technician chemical manufacturing
C003241_en_000	escort
C003241_en_001	call girl
C003241_en_002	escort messenger
C003241_en_003	gigolo
C003241_en_004	incall girl
C003241_en_005	lady of the night
C003241_en_006	male prostitute
C003241_en_007	out call girl
C003241_en_008	patient escort
C003241_en_009	prostitute
C003241_en_010	sex worker
C003241_en_011	social escort
C003242_en_000	miller
C003242_en_001	flour mill worker
C003242_en_002	flour miller
C003242_en_003	grain mill worker
C003242_en_004	grain miller
C003243_en_000	porcelain painter
C003243_en_001	china decorator
C003243_en_002	china designer & painter
C003243_en_003	china designer and painter
C003243_en_004	china painter
C003243_en_005	porcelain decorator
C003243_en_006	porcelain designer & painter
C003243_en_007	porcelain designer and painter
C003244_en_000	business journalist
C003244_en_001	business & economics journalist
C003244_en_002	business & economics reporter
C003244_en_003	business & finance journalist
C003244_en_004	business and economics journalist
C003244_en_005	business and economics reporter
C003244_en_006	business and finance journalist
C003244_en_007	business correspondent
C003244_en_008	business reporter
C003244_en_009	business writer
C003244_en_010	economic journalist
C003244_en_011	economic reporter
C003244_en_012	financial journalist
C003244_en_013	foreign business correspondent
C003244_en_014	on-line business journalist
C003244_en_015	senior business journalist
C003245_en_000	front of house manager
C003245_en_001	arts venue front of house manager
C003245_en_002	front of house supervisor
C003245_en_003	head of front of house
C003245_en_004	theater front of house supervisor
C003245_en_005	theatre front of house manager
C003245_en_006	theatre front of house supervisor
C003245_en_007	theatrical house manager
C003245_en_008	venue house manager
C003246_en_000	artistic director
C003246_en_001	art director
C003246_en_002	artistic consultant
C003246_en_003	artistic director for dance company
C003246_en_004	ballet director
C003246_en_005	director of programming
C003246_en_006	festival director
C003246_en_007	opera director
C003246_en_008	orchestra artistic director
C003246_en_009	theatre director
C003246_en_010	venue programming director
C003246_en_011	venue programming manager
C003247_en_000	clothing alteration machinist
C003247_en_001	alterations hand
C003247_en_002	alterations seamstress
C003247_en_003	alterations sewer
C003247_en_004	alterations tailor
C003247_en_005	clothing alteration hand
C003247_en_006	clothing alteration machine operator
C003247_en_007	clothing alteration operator
C003248_en_000	engine designer
C003248_en_001	electrical engine designer
C003248_en_002	engine design developer
C003248_en_003	engine design engineer
C003248_en_004	engine design expert
C003248_en_005	engine design producer
C003248_en_006	engine design quality control supervisor
C003248_en_007	engine design specialist
C003248_en_008	engine design technician
C003248_en_009	engine design technologist
C003248_en_010	engine development engineer
C003248_en_011	engine production specialist engineer
C003248_en_012	engine production supervisor
C003248_en_013	engine test engineer
C003248_en_014	engine tool production designer
C003248_en_015	engines designer
C003248_en_016	industrial engine developer
C003249_en_000	purchase planner
C003249_en_001	assistant buyer planner
C003249_en_002	assistant purchase planner
C003249_en_003	assistant supply chain planner
C003249_en_004	company buyer
C003249_en_005	demand and inventory planner
C003249_en_006	demand planner
C003249_en_007	graduate buyer planner
C003249_en_008	graduate purchase planner
C003249_en_009	graduate supply chain planner
C003249_en_010	material planner
C003249_en_011	procurement planner
C003249_en_012	purchase administrator
C003249_en_013	purchase planning office manager
C003249_en_014	purchase planning office worker
C003249_en_015	purchasing coordinator
C003249_en_016	purchasing team leader
C003249_en_017	purchasing team worker
C003249_en_018	senior buyer planner
C003249_en_019	senior purchase planner
C003249_en_020	senior supply chain planner
C003249_en_021	trainee buyer planner
C003249_en_022	trainee purchase planner
C003249_en_023	trainee supply chain planner
C003250_en_000	foundry operative
C003250_en_001	Central control caster
C003250_en_002	caster
C003250_en_003	casting operator
C003250_en_004	casting worker
C003250_en_005	foundry operator
C003250_en_006	foundry process operator
