C000001_pl_000	Siły zbrojne
C002603_pl_002	kierownik produktów w zakresie TIK
C002603_pl_003	kierownik produktów w zakresie technologii ICT
C002603_pl_004	kierownik produktów w zakresie technologii informacyjnej i telekomunikacyjnej
C002603_pl_005	kierownik produktów w zakresie technologii informacyjno-telekomunikacyjnej
C002603_pl_006	kierownik produktów w zakresie technologii informacyjnych i telekomunikacyjnych
C002603_pl_007	kierownik produktów w zakresie technologii informatycznych
C002604_pl_000	kierownik działu w domu towarowym
C002604_pl_001	kierownik działu w domu handlowym
C002605_pl_000	kierownik programu dla młodzieży
C002605_pl_001	dyrektor programu dla młodzieży
C002605_pl_002	dyrektor programu na rzecz włączenia społecznego
C002605_pl_003	kierownik programu na rzecz włączenia społecznego
C002605_pl_004	koordynator programu dla młodzieży
C002606_pl_000	mikrobiolog
C002606_pl_001	bakteriolog
C002606_pl_002	histolog
C002606_pl_003	wirolog
C002607_pl_000	monter sprzętu fotograficznego
C002607_pl_001	monter aparatów i przyrządów optycznych
C002608_pl_000	twórca systemów informacyjno-telekomunikacyjnych
C002608_pl_001	projektant systemów informacyjno-telekomunikacyjnych
C002608_pl_002	twórca systemu informacyjnego i telekomunikacyjnego
C002608_pl_003	twórca systemu informacyjno-telekomunikacyjnego
C002608_pl_004	twórca systemów ICT
C002608_pl_005	twórca systemów TIK
C002608_pl_006	twórca systemów informacyjnych i telekomunikacyjnych
C002608_pl_007	twórcy systemów informacyjno-telekomunikacyjnych
C002609_pl_000	kierownik produkcji żywności
C002609_pl_001	kierownik ds. produkcji żywności
C002609_pl_002	menedżer ds. produkcji żywności
C002609_pl_003	menedżer produkcji żywności
C002610_pl_000	pracownik administracji sądowej
C002611_pl_000	pracownik wylęgarni ryb i skorupiaków
C002612_pl_000	specjalista ds. analizy składu chemicznego metali
C002613_pl_000	konsul
C002613_pl_001	attache
C002613_pl_002	attaché
C002613_pl_003	charge d'affaires
C002613_pl_004	charge d'affaires ad interim
C002613_pl_005	chargé d'affaires
C002613_pl_006	chargé d'affaires ad interim
C002613_pl_007	konsul generalna
C002613_pl_008	konsul generalny
C002613_pl_009	konsul honorowa
C002613_pl_010	konsul honorowy
C002614_pl_000	betoniarz
C002614_pl_001	betoniarz zbrojarz
C002614_pl_002	renowator betonu
C002615_pl_000	geofizyk
C002616_pl_000	urzędnik ds. wieczystoksięgowych
C002617_pl_000	operator piły taśmowej
C002618_pl_000	inżynier ds. zgodności
C002619_pl_000	drukarz sitodrukowy
C002619_pl_001	operator prasy sitodrukowej
C002619_pl_002	operatorka prasy sitodrukowej
C002620_pl_000	kierownik ds. odporności technologii informacyjno-telekomunikacyjnych
C002620_pl_001	kierownicy ds. odporności technologii informacyjno-telekomunikacyjnych
C002620_pl_002	kierowniczka ds. odporności technologii informacyjno-telekomunikacyjnych
C002620_pl_003	kierownik do spraw odporności technologii informacyjno-telekomunikacyjnych
C002620_pl_004	kierownik ds. zapewnienia odporności technologii informacyjno-telekomunikacyjnych
C002620_pl_005	specjalista ds. zapewnienia odporności TIK
C002620_pl_006	specjalista ds. zapewnienia odporności technologii ICT
C002621_pl_000	pracownik pomocy społecznej do spraw wsparcia osób migrujących
C002621_pl_001	pracownik opieki społecznej do spraw wsparcia osób migrujących
C002622_pl_000	kierownik prac konserwacyjnych i remontowych
C002623_pl_000	technik fizyk
C002623_pl_001	pracownik laboratorium fizycznego
C002624_pl_000	projektant materiałów szkoleniowych
C002624_pl_001	autor materiałów szkoleniowych
C002624_pl_002	nauczyciel bibliotekarz
C002624_pl_003	projektanci materiałów szkoleniowych
C002624_pl_004	projektant materiału szkoleniowego
C002624_pl_005	projektant materiałów instruktażowych
C002624_pl_006	projektant szkoleniowych materiałów
C002624_pl_007	projektantka materiałów szkoleniowych
C002624_pl_008	twórca materiałów szkoleniowych
C002625_pl_000	filolog
C002625_pl_001	afrykanista
C002625_pl_002	afrykanistka
C002625_pl_003	amerykanista
C002625_pl_004	anglista
C002625_pl_005	anglistka
C002625_pl_006	arabista
C002625_pl_007	bałtolog
C002625_pl_008	bałtysta
C002625_pl_009	bałtystka
C002625_pl_010	filolog angielski
C002625_pl_011	filolog germański
C002625_pl_012	filolog języka nowożytnego
C002625_pl_013	filolog klasyczny
C002625_pl_014	filolog polski
C002625_pl_015	filolog romański
C002625_pl_016	fonetyk
C002625_pl_017	germanista
C002625_pl_018	germanistka
C002625_pl_019	hellenista
C002625_pl_020	hispanista
C002625_pl_021	hispanistka
C002625_pl_022	iberysta
C002625_pl_023	iberystka
C002625_pl_024	indolog
C002625_pl_025	japonista
C002625_pl_026	językoznawca
C002625_pl_027	koreanista
C002625_pl_028	lingwista
C002625_pl_029	lingwista komputerowy
C002625_pl_030	lingwistka
C002625_pl_031	polonista
C002625_pl_032	polonistka
C002625_pl_033	romanista
C002625_pl_034	romanistka
C002625_pl_035	sinolog
C002625_pl_036	skandynawista
C002625_pl_037	slawista
C002625_pl_038	slawistka
C002625_pl_039	terminolog
C002626_pl_000	technik radioterapeuta
C002626_pl_001	technik radioterapeuta medycyny nuklearnej
C002627_pl_000	pracownik akwakultury w systemach wodnych
C002628_pl_000	operator wytaczarki
C002629_pl_000	technik realizacji nagrań i nagłośnień
C002629_pl_001	inżynier dźwięku
C002629_pl_002	inżynier nagrania
C002629_pl_003	inżynier nagrań
C002629_pl_004	nagraniowiec
C002629_pl_005	operator dźwięku
C002629_pl_006	technik dźwięku
C002629_pl_007	technik realizacji dźwięku
C002630_pl_000	specjalista ds. importu i eksportu odzieży i obuwia
C002631_pl_000	sprzedawca leków
C002631_pl_001	aptekarz
C002631_pl_002	sprzedawczyni leków
C002632_pl_000	ślusarz
C002633_pl_000	koordynator ds. publikacji
C002633_pl_001	dyrektor ds. publikacji
C002633_pl_002	dyrektor ds. publikacji międzynarodowych
C002633_pl_003	kierownik ds. publikacji elektronicznych
C002633_pl_004	kierownik ds. publikacji papierowych
C002633_pl_005	kierownik ds. publikacji technicznych
C002634_pl_000	pracownik cmentarza
C002634_pl_001	grabarz
C002635_pl_000	maszynista turbozespołu parowego
C002636_pl_000	kierownik ds. łańcucha dostaw
C002636_pl_001	kierownik ds. dostaw i dystrybucji
C002636_pl_002	kierownik ds. dostaw międzynarodowych
C002636_pl_003	koordynator dostaw międzynarodowych
C002636_pl_004	specjalista ds. łańcucha dostaw
C002637_pl_000	inżynier transportu
C002637_pl_001	inżynier budowy dróg
C002637_pl_002	inżynier budowy mostów
C002637_pl_003	inżynier transportu drogowego
C002638_pl_000	hurtownik maszyn wykorzystywanych w górnictwie, budownictwie oraz inżynierii lądowej i wodnej
C002639_pl_000	pracownik działu pomocy technicznej w zakresie technologii informacyjno-telekomunikacyjnych
C002639_pl_001	pracownicy działu pomocy technicznej w zakresie technologii informacyjno-telekomunikacyjnych
C002639_pl_002	pracownik działu pomocy technicznej w zakresie TIK
C002639_pl_003	pracownik działu pomocy technicznej w zakresie technologii ICT
C002639_pl_004	pracownik działu pomocy technicznej w zakresie technologii informacyjnej i telekomunikacyjnej
C002639_pl_005	pracownik działu pomocy technicznej w zakresie technologii informacyjno-telekomunikacyjnej
C002639_pl_006	pracownik działu pomocy technicznej w zakresie technologii informacyjnych i telekomunikacyjnych
C002639_pl_007	pracownik działu pomocy technicznej w zakresie technologii informatycznych
C002640_pl_000	urzędnik do spraw paszportów
C002641_pl_000	osoba nadzorująca pracę maszyn dziewiarskich
C002641_pl_001	osoba nadzorująca pracę dziewiarek
C002642_pl_000	inżynier mechatronik
C002642_pl_001	inżynier cybernetyk
C002643_pl_000	inżynier optyk
C002643_pl_001	inżynier optyki
C002644_pl_000	specjalista wykonania form drukowych
C002644_pl_001	drukarz specjalista litografii
C002644_pl_002	operator ctp
C002644_pl_003	rysownik litograficzny
C002644_pl_004	specjalistka wykonania form drukowych
C002645_pl_000	inżynier inżynierii środowiska - oczyszczanie miast i gospodarka odpadami
C002645_pl_001	specjalista ds. gospodarki odpadami
C002646_pl_000	pracownik do spraw kredytów hipotecznych
C002647_pl_000	przedstawiciel medyczny
C002648_pl_000	projektant wzornictwa przemysłowego
C002648_pl_001	projekant szkła
C002648_pl_002	projektant ceramiki
C002648_pl_003	projektant opakowań
C002648_pl_004	projektant wyrobów przemysłowych
C002648_pl_005	projektant zabawek
C002649_pl_000	operator systemów słodowania
C002649_pl_001	operator systemu słodowania
C002649_pl_002	operator zbiornika do zaparzania
C002649_pl_003	operatorzy systemów słodowania
C002650_pl_000	doradca edukacyjny i zawodowy
C002651_pl_000	kontroler jakości mleka w gospodarstwie rolnym
C002651_pl_001	analityk produktów mlecznych
C002651_pl_002	kontroler ds. jakości mleka w gospodarstwie rolnym
C002651_pl_003	kontroler jakości mleka w gospodarstwach rolnych
C002651_pl_004	kontroler jakości mleka w gospodarstwie rolniczym
C002651_pl_005	kontroler mleka
C002651_pl_006	kontroler przetworów mlecznych
C002651_pl_007	kontrolerzy jakości mleka w gospodarstwie rolnym
C002651_pl_008	pracownik sprawdzający jakość mleka w gospodarstwie rolnym
C002651_pl_009	tester mleka
C002652_pl_000	inspektor akwakultury
C002653_pl_000	tokarz w drewnie
C002653_pl_001	wytaczacz elementów drewnianych
C002654_pl_000	inżynier inżynierii środowiska
C002654_pl_001	inżynier inżynierii środowiska - instalacje sanitarne
C002655_pl_000	inżynier ds. dystrybucji energii elektrycznej
C002656_pl_000	operator maszyn do formowania włókna szklanego
C002656_pl_001	operator maszyn do formowania włókien sztucznych
C002657_pl_000	stenograf-protokolant
C002657_pl_001	protokolant sądowy
C002658_pl_000	montażysta obrazu
C002658_pl_001	montazysta telewizyjny
C002658_pl_002	montażysta
C002658_pl_003	montażysta filmowy
C002659_pl_000	pracownik z uprawnieniami do pracy na wysokości
C002659_pl_001	operator podestów ruchomych
C002659_pl_002	pracownica z uprawnieniami do pracy na wysokości
C002660_pl_000	bloger/blogerka
C002660_pl_001	autor bloga
C002660_pl_002	autorka bloga
C002660_pl_003	bloger
C002660_pl_004	bloger kulinarny
C002660_pl_005	bloger modowy
C002660_pl_006	bloger sportowy
C002660_pl_007	blogerka
C002660_pl_008	blogerka kulinarna
C002660_pl_009	blogerka modowa
C002660_pl_010	blogerka sportowa
C002661_pl_000	statystyk
C002662_pl_000	brygadier sceny
C002663_pl_000	biomedyk
C002664_pl_000	kierownik delikatesów
C002665_pl_000	prokurator
C002666_pl_000	antropolog
C002666_pl_001	antropolog biologiczny
C002666_pl_002	antropolog języka
C002666_pl_003	antropolog kulturowy
C002666_pl_004	antropolog społeczno-kulturowy
C002666_pl_005	antropolog społeczny
C002666_pl_006	antropolog sądowy
C002666_pl_007	badacz gender
C002666_pl_008	etnograf
C002666_pl_009	etnolog
C002666_pl_010	kulturoznawca
C002666_pl_011	mediator kulturowy
C002666_pl_012	muzykolog
C002666_pl_013	paleoantropolog
C002666_pl_014	religioznawca
C002666_pl_015	teatrolog
C002667_pl_000	geolog złóż
C002667_pl_001	geolog złożowy
C002668_pl_000	kierownik ds. dystrybucji maszyn wykorzystywanych w górnictwie, budownictwie oraz inżynierii lądowej i wodnej
C002668_pl_001	kierownik ds. łańcucha dostaw kierownik ds. dystrybucji maszyn wykorzystywanych w górnictwie, budownictwie oraz inżynierii lądowej i wodnej
C002669_pl_000	operator maszyn do nadruku foliowego
C002669_pl_001	operatorka maszyn do nadruku foliowego
C002670_pl_000	klasyfikator drewna
C002670_pl_001	kontroler jakości drewna
C002671_pl_000	monter lotniczy
C002671_pl_001	monter płatowców i śmigłowców
C002671_pl_002	monter samolotów
C002672_pl_000	kartograf
C002673_pl_000	kierownik ds. rozwoju produktów w branży wyrobów skórzanych
C002673_pl_001	dyrektor kolekcji
C002673_pl_002	główny projektant
C002673_pl_003	kierownik ds. rozwoju produktów
C002673_pl_004	kierownik ds. zakupów
C002673_pl_005	specjalista ds. rozwoju produktów
C002674_pl_000	pracownik obsługi płacowej
C002675_pl_000	tester bezpieczeństwa pożarowego
C002676_pl_000	wykładowca akademicki w dziedzinie filozofii
C002676_pl_001	pracownik naukowo-dydaktyczny w dziedzinie filozofii
C002677_pl_000	operator urządzeń do tłoczenia płyt winylowych
C002677_pl_001	operator prasy do tłoczenia płyt winylowych
C002677_pl_002	operator urządzeń do tłoczenia winyli
C002678_pl_000	rysownik storyboardów
C002678_pl_001	storyboardzista
C002679_pl_000	komiwojażer
C002679_pl_001	agent sprzedaży bezpośredniej
C002679_pl_002	komiwojażerka
C002679_pl_003	konsultant
C002680_pl_000	inżynier optomechaniki
C002681_pl_000	mistrz produkcji urządzeń elektrycznych
C002681_pl_001	mistrz produkcji w przemyśle elektromaszynowym
C002682_pl_000	kierownik ds. prognozowania
C002682_pl_001	kierownik ds. planowania
C002682_pl_002	kierownik ds. prognoz i analiz
C002682_pl_003	kierownik ds. prognoz i planowania
C002682_pl_004	specjalista ds. zarządzania popytem
C002683_pl_000	brygadzista tynkarz
C002684_pl_000	monter konstrukcji stalowych
C002684_pl_001	monter elementow metalowych
C002685_pl_000	koordynator działu wprowadzania danych
C002686_pl_000	kierowca karawanu
C002687_pl_000	psychoterapeuta
C002687_pl_001	psychoanalityk
C002687_pl_002	psychoterapeuta Gestalt
C002687_pl_003	psychoterapeuta dziecięcy
C002687_pl_004	psychoterapeuta egzystencjalny
C002687_pl_005	psychoterapeuta grupowy
C002687_pl_006	psychoterapeuta humanistyczny
C002687_pl_007	psychoterapeuta indywidualny
C002687_pl_008	psychoterapeuta integracyjny
C002687_pl_009	psychoterapeuta młodzieży
C002687_pl_010	psychoterapeuta par
C002687_pl_011	psychoterapeuta poznawczo-behawioralny
C002687_pl_012	psychoterapeuta pozytywny
C002687_pl_013	psychoterapeuta psychodynamiczny
C002687_pl_014	psychoterapeuta rodzin
C002687_pl_015	psychoterapeuta systemowy
C002687_pl_016	psychoterapeuta-hipnotyzer
C002687_pl_017	specjalista psychoterapii uzależnień
C002688_pl_000	inżynier ds. energetyki cieplnej
C002688_pl_001	specjalista ds. energetyki cieplnej
C002689_pl_000	specjalista ds. wyceny nieruchomości
C002689_pl_001	specjalista ds. szacowania nieruchomości
C002690_pl_000	kierownik ds. importu i eksportu czekolady, cukru i wyrobów cukierniczych
C002690_pl_001	kierownik do spraw importu i eksportu czekolady, cukru i wyrobów cukierniczych
C002691_pl_000	wytwórca łańcuchów
C002691_pl_001	operator maszyny do odlewania odśrodkowego
C002691_pl_002	złotnik wytwórca łancuszków
C002692_pl_000	technik żywności
C002692_pl_001	kontroler procesów
C002692_pl_002	kontroler procesów produkcji żywności
C002692_pl_003	technik procesów produkcji żywności
C002692_pl_004	technik produkcji żywności
C002693_pl_000	pracownik ds. socjalnych
C002694_pl_000	pracownik służby ochrony lotniska
C002695_pl_000	masażysta techniką shiatsu/masażystka techniką shiatsu
C002695_pl_001	masażysta techniką shiatsu
C002695_pl_002	masażystka techniką shiatsu
C002696_pl_000	inspektor lotniczy
C002697_pl_000	mechanik maszyn ciężkich
C002697_pl_001	mechanik ciężkiego sprzętu
C002698_pl_000	sprzedawca uliczny
C002699_pl_000	maszynista maszyn transportu pionowego
C002699_pl_001	operator dźwigu
C002699_pl_002	operator żurawia
C002700_pl_000	inżynier akustyk
C002701_pl_000	pisarz/pisarka
C002701_pl_001	autor podręczników
C002701_pl_002	autor przewodników turystycznych
C002701_pl_003	autor tekstów
C002701_pl_004	autorka podręczników
C002701_pl_005	autorka przewodników turystycznych
C002701_pl_006	autorka tekstów
C002701_pl_007	literat
C002701_pl_008	pisarka
C002701_pl_009	pisarz
C002702_pl_000	wyplatacz koszyków
C002702_pl_001	wyplataczka koszyków
C002703_pl_000	menedżer ryzyka
C002704_pl_000	operator DTP
C002704_pl_001	linotypista
C002704_pl_002	operatorka DTP
C002704_pl_003	składacz
C002704_pl_004	zecer
C002705_pl_000	kontroler jakości wyrobów
C002706_pl_000	operator maszyn do produkcji wyrobów gumowych
C002707_pl_000	impregnator drewna
C002708_pl_000	specjalista w dziedzinie biometrii
C002709_pl_000	operator urządzeń do pakowania i napełniania
C002709_pl_001	operator linii do pakowania i napełniania
C002709_pl_002	operator linii pakowania i napełniania
C002709_pl_003	operator maszyn do pakowania i napełniania
C002710_pl_000	inspektor montażu statków powietrznych
C002711_pl_000	pierwszy cukiernik
C002711_pl_001	główny cukiernik
C002711_pl_002	naczelny cukiernik
C002711_pl_003	przełożony cukiernik
C002712_pl_000	twórca baz danych
C002712_pl_001	programista baz danych
C002712_pl_002	projektant baz danych
C002712_pl_003	twórca bazy danych
C002712_pl_004	twórca hurtowni danych
C002712_pl_005	twórcy baz danych
C002713_pl_000	mistrz montażu w przemyśle
C002714_pl_000	kierownik ds. importu i eksportu artykułów gospodarstwa domowego
C002714_pl_001	kierownik do spraw importu i eksportu artykułów gospodarstwa domowego
C002715_pl_000	dyrektor kamieniołomu
C002716_pl_000	technik ds. teledetekcji
C002716_pl_001	analityk technologii teledetekcji
C002716_pl_002	specjalista ds. technologii teledetekcji
C002717_pl_000	autor tekstów i sloganów reklamowych
C002717_pl_001	autor sloganów reklamowych
C002717_pl_002	autor tekstów reklamowych
C002717_pl_003	copywriter
C002718_pl_000	twórca efektów specjalnych
C002718_pl_001	projektant efektów specjalnych
C002719_pl_000	konsultant ds. technologii informacyjno-telekomunikacyjnych
C002719_pl_001	konsultanci ds. technologii informacyjno-telekomunikacyjnych
C002719_pl_002	konsultant ds. TIK
C002719_pl_003	konsultant ds. technologii ICT
C002719_pl_004	konsultant ds. technologii informacyjnej i telekomunikacyjnej
C002719_pl_005	konsultant ds. technologii informacyjno-telekomunikacyjnej
C002719_pl_006	konsultant ds. technologii informacyjnych i telekomunikacyjnych
C002719_pl_007	konsultant ds. technologii informatycznych
C002720_pl_000	brygadzista operator dźwigu
C002721_pl_000	operator centralnej sterowni w zakładzie chemicznym
C002722_pl_000	kierownik salonu samochodowego
C002723_pl_000	porucznik
C002723_pl_001	porucznik sił zbrojnych
C002724_pl_000	hodowca owiec
C002724_pl_001	baca
C002724_pl_002	hodowca owczy
C002724_pl_003	hodowca zwierząt
C002724_pl_004	hodowcy owiec
C002725_pl_000	koordynator prac obsługi hangarowej
C002726_pl_000	kierownik do spraw importu i eksportu ryb, skorupiaków i mięczaków
C002727_pl_000	kontroler jakości tablic kontrolnych
C002728_pl_000	inżynier energetyki
C002728_pl_001	doradca ds. efektywności energetycznej
C002729_pl_000	monter izolacji budowlanych
C002729_pl_001	termoizoler
C002730_pl_000	pracownik back office
C002730_pl_001	młodszy specjalista ds. procesów biznesowych
C002730_pl_002	pracownik zaplecza biurowego
C002730_pl_003	specjalista ds. obsługi kontraktów leasingowych
C002730_pl_004	specjalista ds. obsługi umów faktoringowych
C002730_pl_005	specjalista w dziale back office
C002731_pl_000	operator reaktora jądrowego
C002732_pl_000	artysta szkła
C002732_pl_001	artystka szkła
C002732_pl_002	witrażysta
C002732_pl_003	witrażystka
C002733_pl_000	trener tenisa
C002734_pl_000	technik mechanik
C002735_pl_000	operator maszyn do nakładania powłok antykorozyjnych
C002736_pl_000	diagnosta silników lotniczych
C002737_pl_000	technik urządzeń przenośnych
C002737_pl_001	konserwator urządzeń przenośnych
C002737_pl_002	technicy urządzeń przenośnych
C002737_pl_003	technik przenośnych urządzeń
C002737_pl_004	technik urządzenia przenośnego
C002737_pl_005	technik urządzeń mobilnych
C002738_pl_000	inżynier ds. wentylacji kopalni
C002738_pl_001	inżynier wentylacji kopalni
C002739_pl_000	inspektor ds. postępowania z materiałami niebezpiecznymi
C002740_pl_000	kierownik stacji kolejowej
C002740_pl_001	zawiadowca stacji
C002741_pl_000	instruktor pilotażu
C002742_pl_000	krawiec artystyczny/krawcowa artystyczna
C002742_pl_001	krawcowa artystyczna
C002742_pl_002	krawcowa teatralna
C002742_pl_003	krawiec artystyczny
C002742_pl_004	krawiec teatralny
C002743_pl_000	wytwórca dywanów metodą mechaniczną
C002743_pl_001	tkacz dywanów
C002743_pl_002	wytwórczyni dywanów metodą mechaniczną
C002744_pl_000	analityk ryzyka kredytowego
C002744_pl_001	specjalista ds. kontroli ryzyka kredytowego
C002744_pl_002	specjalista ds. ryzyka kredytowego
C002745_pl_000	doradca ds. polityki podatkowej
C002745_pl_001	analityk polityki podatkowej
C002746_pl_000	wykładowca akademicki w dziedzinie ochrony zdrowia
C002746_pl_001	pracownik naukowo-dydaktyczny w dziedzinie ochrony zdrowia
C002747_pl_000	kierownik ds. budynków
C002747_pl_001	administrator budynków
C002747_pl_002	kierownik ds. obsługi budynków
C002747_pl_003	kierownik ds. sprzątania i utrzymania budynków
C002747_pl_004	kierownik ds. sprzątania i utrzymania obiektów
C002747_pl_005	kierownik obiektów
C002748_pl_000	specjalista ds. finalizacji transakcji
C002749_pl_000	klasyfikator żywności
C002749_pl_001	klasyfikatorka żywności
C002750_pl_000	komornik
C002751_pl_000	przewodnik
C002751_pl_001	pilot wycieczek
C002751_pl_002	przewodnik turystyczny
C002751_pl_003	przewodnik turystyczny miejski
C002751_pl_004	przewodnik turystyczny terenowy
C002751_pl_005	przewodnik wycieczek
C002752_pl_000	monter – konserwator urządzeń biurowych
C002753_pl_000	kierownik ds. importu i eksportu zwierząt żywych
C002753_pl_001	kierownik do spraw importu i eksportu zwierząt żywych
C002754_pl_000	pracownik usług gastronomicznych linii lotniczych
C002754_pl_001	wydawca posiłków
C002755_pl_000	dekarz
C002756_pl_000	technik laboratorium filmowego
C002756_pl_001	specjalista ds. obróbki taśmy filmowej
C002756_pl_002	specjalista ds. transferu z taśm filmowych
C002756_pl_003	specjalista ds. wywoływania filmów
C002756_pl_004	technik ds. wywoływania filmów
C002756_pl_005	technik filmowy
C002756_pl_006	wywoływacz filmów
C002757_pl_000	operator kafara
C002757_pl_001	operator kafara-wiertnicy
C002757_pl_002	operator palownicy
C002758_pl_000	hodowca bydła
C002758_pl_001	hodowca zwierząt
C002758_pl_002	hodowcy bydła
C002758_pl_003	pracownik zajmujący się bydłem
C002759_pl_000	specjalista ds. testowania silników pojazdów mechanicznych
C002760_pl_000	specjalista ds. importu i eksportu maszyn, urządzeń przemysłowych, statków i samolotów
C002761_pl_000	specjalista ds. planowania mediów
C002761_pl_001	specjalista ds. planowania i zakupu mediów
C002761_pl_002	specjalista ds. planowania kampanii reklamowych
C002762_pl_000	budowniczy instrumentów perkusyjnych membranowych
C002762_pl_001	budowniczy membranofonów
C002763_pl_000	instruktor pierwszej pomocy/instruktorka pierwszej pomocy
C002763_pl_001	instruktor pierwszej pomocy
C002763_pl_002	instruktorka pierwszej pomocy
C002764_pl_000	robotnik portowy
C002765_pl_000	operator koparki na polach górniczych
C002765_pl_001	kierowca kruszyw
C002765_pl_002	kierowca wywrotki
C002765_pl_003	operator koparki w kamieniołomie
C002765_pl_004	operator sprzętu ciężkiego, kopalnictwo odkrywkowe
C002765_pl_005	pracownik kamieniołomu
C002766_pl_000	immunolog
C002767_pl_000	specjalista ds. polityki ochrony środowiska
C002767_pl_001	referent ds. polityki ochrony środowiska
C002768_pl_000	przedstawiciel biura podróży/przedstawicielka biura podróży
C002768_pl_001	przedstawiciel agencji podróży
C002768_pl_002	przedstawiciel agencji turystycznej
C002768_pl_003	przedstawiciel biura podróży
C002768_pl_004	przedstawiciel biura turystycznego
C002768_pl_005	przedstawicielka agencji podróży
C002768_pl_006	przedstawicielka agencji turystycznej
C002768_pl_007	przedstawicielka biura podróży
C002768_pl_008	przedstawicielka biura turystycznego
C002768_pl_009	technik obsługi turystycznej
C002769_pl_000	inspektor w zakresie awioniki
C002769_pl_001	technik awionik-inspektor
C002770_pl_000	inżynier procesu
C002771_pl_000	kurier motocyklowy
C002771_pl_001	kurier rowerowy
C002772_pl_000	kierownik zakładu produkcji drzewnej
C002772_pl_001	dyrektor fabryki mebli
C002772_pl_002	dyrektor zakładu produkcji drzewnej
C002772_pl_003	kontroler w zakładzie produkcji drzewnej
C002773_pl_000	wykładowca akademicki w dziedzinie nauk prawnych
C002773_pl_001	pracownik naukowo-dydaktyczny w dziedzinie nauk prawnych
C002774_pl_000	dziennikarz informacyjny
C002774_pl_001	dziennikarka informacyjna
C002774_pl_002	dziennikarz radiowy
C002774_pl_003	reporter
C002774_pl_004	reporter radiowy
C002775_pl_000	kierownik sklepu hobbystycznego
C002775_pl_001	kierownik sklepu dla artystów
C002775_pl_002	kierownik sklepu plastycznego
C002776_pl_000	sprzedawca artykułów tytoniowych
C002776_pl_001	sprzedawczyni artykułów tytoniowych
C002777_pl_000	dyrektor finansowy banku
C002777_pl_001	analityk finansowy
C002777_pl_002	dyrektor ds. finansowych
C002777_pl_003	kontroler finansowy
C002777_pl_004	skarbnik
C002777_pl_005	skarbnik instytucji finansowej
C002777_pl_006	starszy analityk finansowy
C002777_pl_007	zastępca skarbnika bankowego
C002778_pl_000	operator procesu obróbki cieplnej mleka
C002778_pl_001	operator pasteryzacji
C002778_pl_002	operator procesu pasteryzacji
C002778_pl_003	operator procesu pasteryzacji mleka
C002778_pl_004	operator procesu podgrzewania mleka
C002779_pl_000	operator maszyn do produkcji cegieł i płytek ceramicznych
C002780_pl_000	nauczyciel nauczania przedszkolnego dzieci ze specjalnymi potrzebami edukacyjnymi/nauczycielka nauczania przedszkolnego dzieci ze specjalnymi potrzebami edukacyjnymi
C002780_pl_001	nauczyciel nauczania przedszkolnego dzieci ze specjalnymi potrzebami edukacyjnymi
C002780_pl_002	nauczycielka nauczania przedszkolnego dzieci ze specjalnymi potrzebami edukacyjnymi
C002781_pl_000	nauczyciel sztuki cyrkowej/nauczycielka sztuki cyrkowej
C002781_pl_001	instruktor sztuki cyrkowej
C002781_pl_002	instruktorka sztuki cyrkowej
C002781_pl_003	nauczyciel sztuki cyrkowej
C002781_pl_004	nauczycielka sztuki cyrkowej
C002782_pl_000	przedstawiciel techniczno-handlowy ds. sprzedaży maszyn i urządzeń przemysłowych
C002782_pl_001	przedstawiciel handlowy ds. sprzedaży maszyn i urządzeń przemysłowych
C002782_pl_002	specjalista ds. sprzedaży maszyn i urządzeń przemysłowych
C002783_pl_000	epidemiolog
C002784_pl_000	osoba sprawująca nadzór nad pracownikami socjalnymi
C002785_pl_000	kierownik ds. dystrybucji perfum i kosmetyków
C002785_pl_001	kierownik ds. łańcucha dostaw perfum i kosmetyków
C002786_pl_000	pracownik młodzieżowy
C002786_pl_001	animator czasu wolnego młodzieży
C002787_pl_000	specjalista ds. rozwoju biznesu
C002787_pl_001	specjalista ds. rozwoju rynku
C002788_pl_000	dyrektor supermarketu
C002788_pl_001	dyrektor hipermarketu
C002788_pl_002	dyrektor marketu
C002788_pl_003	kierownik marketu
C002788_pl_004	kierownik outletu
C002788_pl_005	kierownik sklepu dyskontowego
C002788_pl_006	kierownik sklepu franczyzowego
C002788_pl_007	kierownik sklepu spożywczego
C002788_pl_008	kierownik supermarketu
C002789_pl_000	specjalista ds. importu i eksportu ryb, skorupiaków i mięczaków
C002790_pl_000	sejsmolog
C002791_pl_000	serwisant sprzętu komputerowego
C002792_pl_000	biomedyk - badania zaawansowane
C002793_pl_000	pracownik centrum obsługi klienta
C002793_pl_001	konsultant ds. obsługi klienta
C002793_pl_002	konsultant ds. telefonicznej obsługi klienta
C002793_pl_003	konsultant telefonicznej obsługi klienta
C002793_pl_004	pracownik call center
C002793_pl_005	pracownik centrum elektronicznej obsługi klienta
C002793_pl_006	pracownik centrum obsługi telefonicznej
C002793_pl_007	pracownik obsługi klienta
C002793_pl_008	specjalista ds. obsługi klienta
C002794_pl_000	analityk inwestycyjny
C002794_pl_001	specjalista ds. bankowości inwestycyjnej
C002795_pl_000	kasjer walutowy/kasjerka walutowa
C002795_pl_001	kasjer walutowy
C002795_pl_002	kasjer wymiany walut
C002795_pl_003	kasjerka walutowa
C002795_pl_004	kasjerka wymiany walut
